# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,3.091374800000000200e-01,0.000000000000000000e+00,1.084777799999999903e+00,6.719772199999999884e+01,1.052907400000000049e+00,0.000000000000000000e+00,4.018789999999999862e-02,0.000000000000000000e+00
2.000000000000000000e+00,3.613117800000000268e-01,1.172001200000000048e-01,1.108409100000000036e+00,6.444797499999999957e+01,1.500448199999999899e+00,2.361167799999999983e-01,4.697049999999999836e-02,1.523599999999999954e-02
3.000000000000000000e+00,4.287662300000000259e-01,2.511463700000000077e-01,1.142765800000000054e+00,6.105325299999999800e+01,2.220563400000000076e+00,6.500893300000000208e-01,5.573960000000000026e-02,3.264899999999999747e-02
4.000000000000000000e+00,4.990793099999999982e-01,3.748540200000000100e-01,1.182445399999999980e+00,5.774755199999999888e+01,3.132559699999999836e+00,1.207179000000000002e+00,6.488030000000000186e-02,4.873099999999999654e-02
5.000000000000000000e+00,5.691117900000000063e-01,4.860633100000000262e-01,1.225597800000000070e+00,5.467926200000000136e+01,4.199286899999999711e+00,1.886858499999999994e+00,7.398449999999999471e-02,6.318819999999999992e-02
6.000000000000000000e+00,6.371871199999999957e-01,5.854277900000000034e-01,1.271030799999999905e+00,5.188402700000000323e+01,5.386509600000000120e+00,2.667544799999999938e+00,8.283429999999999960e-02,7.610559999999999548e-02
7.000000000000000000e+00,7.021618499999999763e-01,6.739982100000000420e-01,1.317811300000000019e+00,4.936151499999999714e+01,6.660671299999999739e+00,3.526923200000000147e+00,9.128100000000000103e-02,8.761979999999999769e-02
8.000000000000000000e+00,7.632037200000000299e-01,7.527639000000000413e-01,1.365145800000000076e+00,4.709828399999999959e+01,7.989544099999999816e+00,4.442874599999999674e+00,9.921649999999999914e-02,9.785929999999999629e-02
9.000000000000000000e+00,8.197250699999999446e-01,8.225916399999999573e-01,1.412342699999999951e+00,4.507594499999999726e+01,9.343297700000000816e+00,5.394367599999999818e+00,1.065643000000000007e-01,1.069369000000000014e-01
1.000000000000000000e+01,8.713566200000000261e-01,8.842484000000000455e-01,1.458802900000000013e+00,4.327443499999999688e+01,1.069546799999999998e+01,6.362197199999999775e+00,1.132763999999999993e-01,1.149522999999999934e-01
1.100000000000000000e+01,9.179289499999999657e-01,9.384355100000000283e-01,1.504020600000000041e+00,4.167346500000000020e+01,1.202365400000000051e+01,7.329524700000000337e+00,1.193308000000000008e-01,1.219965999999999967e-01
1.200000000000000000e+01,9.594514400000000443e-01,9.858166999999999902e-01,1.547587199999999941e+00,4.025323999999999813e+01,1.330987499999999990e+01,8.282200400000000684e+00,1.247286999999999979e-01,1.281561999999999979e-01
1.300000000000000000e+01,9.960862600000000011e-01,1.027036199999999955e+00,1.589192399999999950e+00,3.899484199999999845e+01,1.454062200000000082e+01,9.208877499999999827e+00,1.294912000000000007e-01,1.335146999999999862e-01
1.400000000000000000e+01,1.028118499999999935e+00,1.062727699999999942e+00,1.628622199999999909e+00,3.788045300000000282e+01,1.570662199999999942e+01,1.010094800000000070e+01,1.336554000000000075e-01,1.381545999999999885e-01
1.500000000000000000e+01,1.055924700000000049e+00,1.093516200000000049e+00,1.665752700000000086e+00,3.689347899999999925e+01,1.680241399999999885e+01,1.095234300000000083e+01,1.372702000000000089e-01,1.421571000000000085e-01
1.600000000000000000e+01,1.079942299999999911e+00,1.120014999999999983e+00,1.700541499999999928e+00,3.601860800000000040e+01,1.782581000000000060e+01,1.175924599999999920e+01,1.403925000000000034e-01,1.456019000000000063e-01
1.700000000000000000e+01,1.100642399999999910e+00,1.142819800000000052e+00,1.733015900000000054e+00,3.524183200000000227e+01,1.877729700000000079e+01,1.251975000000000016e+01,1.430835000000000024e-01,1.485665999999999931e-01
1.800000000000000000e+01,1.118506800000000023e+00,1.162502600000000053e+00,1.763260300000000003e+00,3.455041899999999799e+01,1.965944899999999862e+01,1.323351100000000002e+01,1.454059000000000046e-01,1.511252999999999902e-01
1.900000000000000000e+01,1.134010200000000079e+00,1.179605999999999932e+00,1.791404599999999903e+00,3.393287000000000120e+01,2.047638800000000003e+01,1.390140799999999999e+01,1.474213000000000051e-01,1.533488000000000073e-01
2.000000000000000000e+01,1.147608200000000078e+00,1.194638899999999948e+00,1.817611400000000099e+00,3.337885599999999897e+01,2.123331100000000049e+01,1.452523300000000006e+01,1.491890999999999912e-01,1.553030999999999995e-01
2.100000000000000000e+01,1.159728899999999951e+00,1.208074499999999940e+00,1.842066100000000040e+00,3.287913700000000006e+01,2.193608700000000056e+01,1.510742100000000043e+01,1.507648000000000044e-01,1.570496999999999865e-01
2.200000000000000000e+01,1.170769600000000077e+00,1.220350000000000046e+00,1.864967899999999901e+00,3.242548299999999983e+01,2.259094199999999830e+01,1.565081699999999998e+01,1.522001000000000048e-01,1.586454999999999949e-01
