# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.500000000000000000e+01,1.181844100000000036e-01,5.835004599999999986e-01,1.035355599999999932e+00,7.498360300000000223e+01,2.925282000000000160e-01,2.339714400000000027e-01,1.536399999999999919e-02,7.585509999999999475e-02
1.600000000000000000e+01,1.419494099999999981e-01,6.646413300000000302e-01,1.055609900000000101e+00,7.131955499999999404e+01,5.696770799999999468e-01,4.666315600000000008e-01,1.845339999999999828e-02,8.640340000000000520e-02
1.700000000000000000e+01,1.770268200000000014e-01,7.612784999999999691e-01,1.085641899999999938e+00,6.708949300000000449e+01,1.068471500000000018e+00,8.767127099999999507e-01,2.301349999999999923e-02,9.896620000000000417e-02
1.800000000000000000e+01,2.169267699999999910e-01,8.525723299999999893e-01,1.120722599999999902e+00,6.316135299999999830e+01,1.749961099999999936e+00,1.430772799999999956e+00,2.820049999999999987e-02,1.108343999999999996e-01
1.900000000000000000e+01,2.587206000000000228e-01,9.354274099999999592e-01,1.159120900000000010e+00,5.962368500000000182e+01,2.587251499999999815e+00,2.108386799999999894e+00,3.363370000000000248e-02,1.216055999999999943e-01
2.000000000000000000e+01,3.004748300000000261e-01,1.009487599999999929e+00,1.199688400000000099e+00,5.646513399999999905e+01,3.550572299999999792e+00,2.887745499999999854e+00,3.906169999999999781e-02,1.312334000000000001e-01
2.100000000000000000e+01,3.408106499999999928e-01,1.075063199999999997e+00,1.241516899999999923e+00,5.365530900000000258e+01,4.608695100000000267e+00,3.746155100000000182e+00,4.430540000000000173e-02,1.397581999999999991e-01
