# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
6.000000000000000000e+00,2.301061500000000093e-01,2.083930200000000121e-01,1.055468400000000084e+00,7.134228400000000647e+01,5.675551699999999977e-01,2.143295299999999903e-01,2.991380000000000081e-02,2.709109999999999990e-02
7.000000000000000000e+00,2.706048300000000184e-01,3.204396999999999940e-01,1.078385099999999985e+00,6.801968899999999962e+01,9.398223300000000391e-01,4.508312300000000272e-01,3.517859999999999737e-02,4.165719999999999840e-02
8.000000000000000000e+00,3.244236200000000236e-01,4.462994599999999812e-01,1.111538300000000090e+00,6.411263599999999485e+01,1.562875000000000014e+00,8.652253699999999936e-01,4.217510000000000009e-02,5.801889999999999825e-02
9.000000000000000000e+00,3.817286400000000079e-01,5.612483900000000414e-01,1.149703099999999978e+00,6.043421599999999927e+01,2.374401900000000065e+00,1.423125299999999926e+00,4.962470000000000075e-02,7.296229999999999383e-02
1.000000000000000000e+01,4.395582399999999890e-01,6.638003500000000390e-01,1.191128900000000046e+00,5.709154199999999690e+01,3.341597500000000220e+00,2.103901700000000208e+00,5.714260000000000173e-02,8.629399999999999571e-02
1.100000000000000000e+01,4.961729300000000120e-01,7.548246199999999462e-01,1.234683299999999928e+00,5.408853299999999820e+01,4.432012799999999864e+00,2.885838699999999868e+00,6.450250000000000428e-02,9.812719999999999776e-02
1.200000000000000000e+01,5.503549399999999592e-01,8.354084200000000404e-01,1.279472100000000001e+00,5.140476100000000059e+01,5.612979300000000116e+00,3.746468199999999804e+00,7.154610000000000136e-02,1.086030999999999941e-01
1.300000000000000000e+01,6.012197799999999814e-01,9.065281200000000483e-01,1.324730799999999986e+00,4.901404000000000138e+01,6.852735199999999693e+00,4.663512100000000160e+00,7.815859999999999475e-02,1.178487000000000007e-01
1.400000000000000000e+01,6.481487599999999905e-01,9.690304100000000087e-01,1.369791399999999992e+00,4.688959499999999991e+01,8.121677999999999287e+00,5.615791200000000316e+00,8.425929999999999531e-02,1.259740000000000026e-01
1.500000000000000000e+01,6.907559399999999572e-01,1.023667600000000011e+00,1.414075299999999924e+00,4.500560099999999863e+01,9.393421500000000535e+00,6.583978499999999734e+00,8.979829999999999757e-02,1.330767999999999951e-01
1.600000000000000000e+01,7.288627100000000247e-01,1.071133799999999914e+00,1.457096399999999958e+00,4.333764699999999692e+01,1.064554099999999970e+01,7.551148600000000322e+00,9.475219999999999476e-02,1.392473999999999934e-01
1.700000000000000000e+01,7.624713199999999524e-01,1.112091600000000069e+00,1.498463899999999960e+00,4.186287000000000091e+01,1.185997099999999982e+01,8.503104900000000299e+00,9.912129999999999552e-02,1.445719000000000032e-01
1.800000000000000000e+01,7.917349500000000484e-01,1.147187500000000027e+00,1.537884299999999982e+00,4.055999899999999769e+01,1.302307000000000059e+01,9.428494900000000456e+00,1.029255000000000031e-01,1.491344000000000003e-01
