# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,2.827434600000000131e+00,0.000000000000000000e+00,2.289081100000000202e+00,2.590348499999999987e+01,3.400852700000000084e+01,0.000000000000000000e+00,3.675665000000000182e-01,0.000000000000000000e+00
2.000000000000000000e+00,2.972127500000000033e+00,7.036541100000000271e-02,2.362676899999999858e+00,2.503986400000000145e+01,3.583714700000000164e+01,9.247524499999999481e-01,3.863766000000000145e-01,9.147499999999999382e-03
3.000000000000000000e+00,3.108474399999999971e+00,1.369238899999999926e-01,2.433980800000000055e+00,2.425821499999999986e+01,3.756396800000000269e+01,1.816249299999999955e+00,4.041017000000000081e-01,1.780009999999999926e-02
4.000000000000000000e+00,3.236460099999999951e+00,1.997545599999999977e-01,2.502612599999999965e+00,2.355207599999999957e+01,3.918450899999999848e+01,2.668021400000000209e+00,4.207397999999999971e-01,2.596810000000000090e-02
5.000000000000000000e+00,3.356260300000000196e+00,2.589775300000000113e-01,2.568300100000000086e+00,2.291484399999999866e+01,4.069763499999999823e+01,3.475700900000000093e+00,4.363137999999999739e-01,3.366709999999999842e-02
6.000000000000000000e+00,3.468214399999999920e+00,3.147560099999999750e-01,2.630871799999999983e+00,2.234000899999999845e+01,4.210489499999999907e+01,4.236676100000000389e+00,4.508678999999999881e-01,4.091829999999999773e-02
7.000000000000000000e+00,3.572794899999999885e+00,3.672949999999999826e-01,2.690246300000000090e+00,2.182131299999999996e+01,4.340989499999999879e+01,4.949785099999999716e+00,4.644633000000000234e-01,4.774830000000000046e-02
8.000000000000000000e+00,3.670576300000000014e+00,4.168370699999999762e-01,2.746419500000000014e+00,2.135284700000000058e+01,4.461772500000000008e+01,5.615015500000000159e+00,4.771749000000000129e-01,5.418880000000000224e-02
9.000000000000000000e+00,3.762206799999999962e+00,4.636565400000000059e-01,2.799451900000000215e+00,2.092912199999999956e+01,4.573446599999999762e+01,6.233227399999999641e+00,4.890868999999999911e-01,6.027529999999999694e-02
1.000000000000000000e+01,3.848382299999999923e+00,5.080526600000000448e-01,2.849454300000000107e+00,2.054508900000000082e+01,4.676678499999999872e+01,6.805909100000000045e+00,5.002896999999999483e-01,6.604680000000000273e-02
1.100000000000000000e+01,3.929825300000000077e+00,5.503428999999999682e-01,2.896575900000000203e+00,2.019615500000000097e+01,4.772160399999999925e+01,7.334970300000000165e+00,5.108772999999999787e-01,7.154459999999999986e-02
1.200000000000000000e+01,4.007268299999999783e+00,5.908566699999999727e-01,2.940992000000000051e+00,1.987817300000000031e+01,4.860584500000000219e+01,7.822570500000000315e+00,5.209449000000000440e-01,7.681140000000000190e-02
1.300000000000000000e+01,4.081441200000000435e+00,6.299299400000000215e-01,2.982894299999999888e+00,1.958742900000000020e+01,4.942624099999999743e+01,8.270981600000000711e+00,5.305874000000000423e-01,8.189090000000000258e-02
1.400000000000000000e+01,4.153062799999999832e+00,6.679009399999999985e-01,3.022481899999999833e+00,1.932061399999999907e+01,5.018919700000000006e+01,8.682480899999999835e+00,5.398981999999999948e-01,8.682710000000000428e-02
1.500000000000000000e+01,4.222834999999999894e+00,7.051067300000000149e-01,3.059953900000000004e+00,1.907480299999999929e+01,5.090069299999999686e+01,9.059269600000000366e+00,5.489686000000000288e-01,9.166390000000000648e-02
1.600000000000000000e+01,4.291439800000000027e+00,7.418807200000000490e-01,3.095503799999999917e+00,1.884742800000000074e+01,5.156622099999999875e+01,9.403414200000000278e+00,5.578872000000000275e-01,9.644450000000000245e-02
1.700000000000000000e+01,4.359537699999999738e+00,7.785506800000000505e-01,3.129314299999999882e+00,1.863624700000000090e+01,5.219074899999999673e+01,9.716807499999999820e+00,5.667398999999999631e-01,1.012115999999999988e-01
1.800000000000000000e+01,4.427767000000000230e+00,8.154371599999999942e-01,3.161553599999999964e+00,1.843932300000000168e+01,5.277869900000000314e+01,1.000114499999999929e+01,5.756097000000000019e-01,1.060067999999999983e-01
1.900000000000000000e+01,4.496742900000000098e+00,8.528517500000000195e-01,3.192372900000000069e+00,1.825499599999999845e+01,5.333394200000000041e+01,1.025791899999999934e+01,5.845766000000000018e-01,1.108707000000000026e-01
2.000000000000000000e+01,4.567056499999999630e+00,8.910950399999999494e-01,3.221903800000000206e+00,1.808186099999999996e+01,5.385980800000000102e+01,1.048841799999999935e+01,5.937173000000000034e-01,1.158423999999999982e-01
2.100000000000000000e+01,4.639271199999999595e+00,9.304536799999999497e-01,3.250257099999999788e+00,1.791874800000000079e+01,5.435909800000000303e+01,1.069375199999999992e+01,6.031052999999999553e-01,1.209589999999999971e-01
2.200000000000000000e+01,4.713917799999999936e+00,9.711963500000000415e-01,3.277522199999999941e+00,1.776469399999999865e+01,5.483410500000000098e+01,1.087487699999999968e+01,6.128093000000000012e-01,1.262554999999999927e-01
2.300000000000000000e+01,4.791486199999999585e+00,1.013568100000000083e+00,3.303767199999999793e+00,1.761892800000000037e+01,5.528665399999999863e+01,1.103264099999999992e+01,6.228932000000000357e-01,1.317638999999999894e-01
2.400000000000000000e+01,4.872413200000000444e+00,1.057782800000000023e+00,3.329039499999999929e+00,1.748084499999999863e+01,5.571813399999999916e+01,1.116783599999999943e+01,6.334136999999999684e-01,1.375117999999999896e-01
2.500000000000000000e+01,4.957065000000000055e+00,1.104013099999999969e+00,3.353367899999999846e+00,1.734998300000000171e+01,5.612955800000000295e+01,1.128127199999999952e+01,6.444185000000000052e-01,1.435217000000000021e-01
2.600000000000000000e+01,5.045715699999999693e+00,1.152378300000000078e+00,3.376765100000000075e+00,1.722599400000000003e+01,5.652162799999999976e+01,1.137385399999999969e+01,6.559430000000000538e-01,1.498092000000000035e-01
2.700000000000000000e+01,5.138518499999999989e+00,1.202928900000000079e+00,3.399231799999999915e+00,1.710861999999999838e+01,5.689481099999999714e+01,1.144667500000000082e+01,6.680074000000000289e-01,1.563807999999999865e-01
2.800000000000000000e+01,5.235471600000000336e+00,1.255629399999999896e+00,3.420761499999999788e+00,1.699765500000000173e+01,5.724943100000000129e+01,1.150111500000000042e+01,6.806113000000000302e-01,1.632318000000000102e-01
2.900000000000000000e+01,5.336378200000000405e+00,1.310338199999999897e+00,3.441346799999999817e+00,1.689291700000000063e+01,5.758577700000000021e+01,1.153894599999999926e+01,6.937292000000000458e-01,1.703439999999999954e-01
3.000000000000000000e+01,5.440801699999999741e+00,1.366786199999999951e+00,3.460985599999999884e+00,1.679420899999999861e+01,5.790420300000000253e+01,1.156243100000000013e+01,7.073042000000000495e-01,1.776822000000000124e-01
3.100000000000000000e+01,5.641132800000000280e+00,1.474563499999999916e+00,3.494903299999999824e+00,1.662646300000000110e+01,5.844856599999999958e+01,1.157688500000000076e+01,7.333473000000000352e-01,1.916932000000000080e-01
3.200000000000000000e+01,5.846130500000000119e+00,1.584126700000000110e+00,3.525534400000000179e+00,1.647786699999999982e+01,5.893417699999999826e+01,1.156417300000000026e+01,7.599970000000000336e-01,2.059364999999999946e-01
