# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,3.438261999999999929e+00,0.000000000000000000e+00,2.593659999999999854e+00,2.267823299999999875e+01,4.127197400000000016e+01,0.000000000000000000e+00,4.469740999999999853e-01,0.000000000000000000e+00
2.000000000000000000e+00,3.590428499999999801e+00,6.385309799999999703e-02,2.669620000000000104e+00,2.199867499999999865e+01,4.295987099999999970e+01,8.513935799999999832e-01,4.667556999999999956e-01,8.300899999999999945e-03
3.000000000000000000e+00,3.734060599999999841e+00,1.246635799999999961e-01,2.742514200000000013e+00,2.138474700000000084e+01,4.453458899999999687e+01,1.658379599999999954e+00,4.854279000000000233e-01,1.620629999999999987e-02
4.000000000000000000e+00,3.869364399999999815e+00,1.825039400000000034e-01,2.812117600000000106e+00,2.083046099999999967e+01,4.599783299999999997e+01,2.418227799999999927e+00,5.030173999999999479e-01,2.372550000000000006e-02
5.000000000000000000e+00,3.996708100000000208e+00,2.374899099999999985e-01,2.878301299999999951e+00,2.033002799999999866e+01,4.735336600000000118e+01,3.129694999999999894e+00,5.195720999999999812e-01,3.087370000000000045e-02
6.000000000000000000e+00,4.116591399999999901e+00,2.897791100000000064e-01,2.941021399999999897e+00,1.987796600000000069e+01,4.860642500000000155e+01,3.792681799999999992e+00,5.351569000000000464e-01,3.767129999999999784e-02
7.000000000000000000e+00,4.229615299999999856e+00,3.395672599999999819e-01,3.000305000000000000e+00,1.946916200000000075e+01,4.976323000000000008e+01,4.407964200000000332e+00,5.498499999999999499e-01,4.414370000000000099e-02
8.000000000000000000e+00,4.336454400000000042e+00,3.870827399999999807e-01,3.056236499999999801e+00,1.909890299999999996e+01,5.083057000000000158e+01,4.976951599999999587e+00,5.637391000000000485e-01,5.032079999999999886e-02
9.000000000000000000e+00,4.437832600000000127e+00,4.325805099999999737e-01,3.108944999999999848e+00,1.876289200000000079e+01,5.181547799999999881e+01,5.501482700000000392e+00,5.769182000000000476e-01,5.623550000000000076e-02
1.000000000000000000e+01,4.534502800000000278e+00,4.763358500000000051e-01,3.158591100000000207e+00,1.845724200000000081e+01,5.272497500000000059e+01,5.983655299999999677e+00,5.894854000000000482e-01,6.192369999999999819e-02
1.100000000000000000e+01,4.627230899999999814e+00,5.186386299999999894e-01,3.205356300000000047e+00,1.817846199999999968e+01,5.356588099999999741e+01,6.425691699999999784e+00,6.015399999999999636e-01,6.742299999999999682e-02
1.200000000000000000e+01,4.716783799999999971e+00,5.597881500000000399e-01,3.249433799999999817e+00,1.792344200000000143e+01,5.434467599999999976e+01,6.829831699999999728e+00,6.131818999999999464e-01,7.277250000000000385e-02
1.300000000000000000e+01,4.803920699999999933e+00,6.000889099999999754e-01,3.291019499999999987e+00,1.768942399999999893e+01,5.506741199999999736e+01,7.198254699999999673e+00,6.245096999999999454e-01,7.801160000000000039e-02
1.400000000000000000e+01,4.889387000000000150e+00,6.398469500000000254e-01,3.330306000000000211e+00,1.747398300000000049e+01,5.573964699999999794e+01,7.533020999999999745e+00,6.356203000000000269e-01,8.318010000000000681e-02
1.500000000000000000e+01,4.973910400000000287e+00,6.793669500000000250e-01,3.367477200000000170e+00,1.727499699999999905e+01,5.636641099999999938e+01,7.836035100000000142e+00,6.466083000000000247e-01,8.831769999999999898e-02
1.600000000000000000e+01,5.058198100000000252e+00,7.189495500000000483e-01,3.402703799999999834e+00,1.709062600000000032e+01,5.695219699999999818e+01,8.109024299999999741e+00,6.575657000000000307e-01,9.346340000000000203e-02
1.700000000000000000e+01,5.142934099999999731e+00,7.588888000000000300e-01,3.436140200000000089e+00,1.691928400000000110e+01,5.750095600000000218e+01,8.353530499999999748e+00,6.685813999999999924e-01,9.865549999999999320e-02
1.800000000000000000e+01,5.228776500000000382e+00,7.994694100000000470e-01,3.467922600000000077e+00,1.675962200000000024e+01,5.801611100000000221e+01,8.570918300000000656e+00,6.797408999999999812e-01,1.039309999999999956e-01
1.900000000000000000e+01,5.316352799999999768e+00,8.409632799999999797e-01,3.498167399999999816e+00,1.661049900000000079e+01,5.850058299999999889e+01,8.762392699999999479e+00,6.911258999999999597e-01,1.093251999999999974e-01
2.000000000000000000e+01,5.406253600000000326e+00,8.836252399999999785e-01,3.526971000000000078e+00,1.647096399999999861e+01,5.895681499999999886e+01,8.929029699999999181e+00,7.028130000000000210e-01,1.148712999999999956e-01
2.100000000000000000e+01,5.499023000000000216e+00,9.276873399999999714e-01,3.554410299999999800e+00,1.634023300000000134e+01,5.938682099999999764e+01,9.071819500000000147e+00,7.148729999999999807e-01,1.205993999999999955e-01
2.200000000000000000e+01,5.595145300000000432e+00,9.733516100000000337e-01,3.580544199999999844e+00,1.621766399999999919e+01,5.979223199999999849e+01,9.191720399999999458e+00,7.273688999999999849e-01,1.265357000000000010e-01
2.300000000000000000e+01,5.695026799999999945e+00,1.020780800000000044e+00,3.605415999999999954e+00,1.610273400000000166e+01,6.017436099999999755e+01,9.289726200000000489e+00,7.403534999999999977e-01,1.327015000000000000e-01
2.400000000000000000e+01,5.798972400000000249e+00,1.070087100000000069e+00,3.629057200000000094e+00,1.599501099999999987e+01,6.053427299999999889e+01,9.366943799999999598e+00,7.538664000000000476e-01,1.391112999999999933e-01
2.500000000000000000e+01,5.907155699999999676e+00,1.121318500000000107e+00,3.651492499999999808e+00,1.589412599999999998e+01,6.087287200000000098e+01,9.424680099999999783e+00,7.679302000000000072e-01,1.457713999999999954e-01
2.600000000000000000e+01,6.019583899999999765e+00,1.174442800000000009e+00,3.672745100000000207e+00,1.579974099999999915e+01,6.119099899999999792e+01,9.464537899999999837e+00,7.825459000000000165e-01,1.526775999999999966e-01
2.700000000000000000e+01,6.136055899999999674e+00,1.229330199999999929e+00,3.692844500000000085e+00,1.571151799999999987e+01,6.148953499999999650e+01,9.488512599999999964e+00,7.976872999999999880e-01,1.598129000000000077e-01
2.800000000000000000e+01,6.256116300000000408e+00,1.285734500000000002e+00,3.711832799999999821e+00,1.562908299999999961e+01,6.176951100000000139e+01,9.499084999999999113e+00,8.132951000000000485e-01,1.671455000000000024e-01
2.900000000000000000e+01,6.485470900000000150e+00,1.392955399999999955e+00,3.744275200000000137e+00,1.549024999999999963e+01,6.224328200000000066e+01,9.492696399999999812e+00,8.431111999999999496e-01,1.810842000000000007e-01
3.000000000000000000e+01,6.719203300000000212e+00,1.501487000000000016e+00,3.773256500000000013e+00,1.536832300000000018e+01,6.266168700000000058e+01,9.463407699999999423e+00,8.734963999999999507e-01,1.951932999999999863e-01
3.100000000000000000e+01,6.956210699999999747e+00,1.610777300000000078e+00,3.799347599999999936e+00,1.526020699999999941e+01,6.303452200000000261e+01,9.419311099999999826e+00,9.043073999999999835e-01,2.094011000000000067e-01
3.200000000000000000e+01,7.195872699999999789e+00,1.720525000000000082e+00,3.823007899999999903e+00,1.516348600000000069e+01,6.336951299999999776e+01,9.365534900000000107e+00,9.354633999999999450e-01,2.236682000000000115e-01
3.300000000000000000e+01,7.437789000000000428e+00,1.830545499999999937e+00,3.844605899999999910e+00,1.507627399999999973e+01,6.367275000000000063e+01,9.305485799999999585e+00,9.669126000000000110e-01,2.379709000000000130e-01
3.400000000000000000e+01,7.681681099999999596e+00,1.940719199999999978e+00,3.864438300000000215e+00,1.499708000000000041e+01,6.394907500000000056e+01,9.241485600000000744e+00,9.986184999999999645e-01,2.522935000000000039e-01
3.500000000000000000e+01,7.927343900000000332e+00,2.050965999999999845e+00,3.882746599999999937e+00,1.492471600000000009e+01,6.420237199999999689e+01,9.175143699999999569e+00,1.030554699999999935e+00,2.666256000000000181e-01
3.600000000000000000e+01,8.174620400000000231e+00,2.161230699999999949e+00,3.899728300000000036e+00,1.485822399999999988e+01,6.443579499999999882e+01,9.107589000000000823e+00,1.062700699999999943e+00,2.809599999999999875e-01
3.700000000000000000e+01,8.423386199999999491e+00,2.271474500000000063e+00,3.915547300000000064e+00,1.479682200000000059e+01,6.465192600000000311e+01,9.039618900000000679e+00,1.095040199999999908e+00,2.952916999999999903e-01
3.800000000000000000e+01,8.673539800000000355e+00,2.381670300000000129e+00,3.930340000000000167e+00,1.473986700000000027e+01,6.485290299999999775e+01,8.971798899999999577e+00,1.127560200000000012e+00,3.096170999999999784e-01
3.900000000000000000e+01,8.924996500000000665e+00,2.491798499999999805e+00,3.944221399999999988e+00,1.468682199999999938e+01,6.504050800000000265e+01,8.904529500000000652e+00,1.160249499999999934e+00,3.239337999999999940e-01
4.000000000000000000e+01,9.177684199999999848e+00,2.601845200000000080e+00,3.957288899999999998e+00,1.463723899999999922e+01,6.521624500000000069e+01,8.838092800000000082e+00,1.193098999999999910e+00,3.382398999999999822e-01
4.100000000000000000e+01,9.431540599999999941e+00,2.711800799999999789e+00,3.969625699999999924e+00,1.459073799999999999e+01,6.538138499999999453e+01,8.772684800000000394e+00,1.226100299999999921e+00,3.525341000000000169e-01
4.200000000000000000e+01,9.686510900000000035e+00,2.821658199999999894e+00,3.981303299999999989e+00,1.454699600000000004e+01,6.553701800000000333e+01,8.708438499999999749e+00,1.259246400000000099e+00,3.668156000000000194e-01
4.300000000000000000e+01,9.942546500000000620e+00,2.931412799999999930e+00,3.992383699999999980e+00,1.450573600000000063e+01,6.568407899999999700e+01,8.645441299999999885e+00,1.292531000000000097e+00,3.810837000000000252e-01
4.400000000000000000e+01,1.019960400000000078e+01,3.041061500000000084e+00,4.002920800000000057e+00,1.446671800000000019e+01,6.582337900000000275e+01,8.583746100000000823e+00,1.325948499999999974e+00,3.953380000000000227e-01
4.500000000000000000e+01,1.045764400000000016e+01,3.150602399999999914e+00,4.012961599999999684e+00,1.442973500000000087e+01,6.595562200000000530e+01,8.523380899999999372e+00,1.359493700000000027e+00,4.095783000000000063e-01
4.600000000000000000e+01,1.071663000000000032e+01,3.260034699999999841e+00,4.022547699999999615e+00,1.439460399999999929e+01,6.608142599999999334e+01,8.464355100000000576e+00,1.393161899999999953e+00,4.238044999999999729e-01
4.700000000000000000e+01,1.097652899999999931e+01,3.369358000000000075e+00,4.031715600000000066e+00,1.436116700000000002e+01,6.620133199999999363e+01,8.406664400000000370e+00,1.426948799999999906e+00,4.380164999999999753e-01
4.800000000000000000e+01,1.123731199999999930e+01,3.478572499999999845e+00,4.040497900000000087e+00,1.432928399999999947e+01,6.631582099999999969e+01,8.350294800000000350e+00,1.460850500000000052e+00,4.522144000000000164e-01
4.900000000000000000e+01,1.149894899999999964e+01,3.587679000000000062e+00,4.048923399999999617e+00,1.429883000000000060e+01,6.642531800000000430e+01,8.295224599999999171e+00,1.494863400000000064e+00,4.663982999999999879e-01
5.000000000000000000e+01,1.176141499999999951e+01,3.696678299999999862e+00,4.057018199999999908e+00,1.426969500000000046e+01,6.653020100000000525e+01,8.241427500000000350e+00,1.528983900000000062e+00,4.805682000000000009e-01
5.100000000000000000e+01,1.202468400000000059e+01,3.805571500000000107e+00,4.064805500000000293e+00,1.424178000000000033e+01,6.663081099999999424e+01,8.188873199999999741e+00,1.563209000000000071e+00,4.947243000000000057e-01
5.200000000000000000e+01,1.228873500000000085e+01,3.914360100000000120e+00,4.072306199999999876e+00,1.421499599999999930e+01,6.672745000000000459e+01,8.137529400000000024e+00,1.597535600000000056e+00,5.088667999999999525e-01
5.300000000000000000e+01,1.255354499999999973e+01,4.023045399999999994e+00,4.079539300000000424e+00,1.418926399999999965e+01,6.682039299999999571e+01,8.087362099999999998e+00,1.631960899999999937e+00,5.229958999999999580e-01
5.400000000000000000e+01,1.281909399999999977e+01,4.131628899999999938e+00,4.086521900000000151e+00,1.416451200000000021e+01,6.690988799999999515e+01,8.038336599999999166e+00,1.666482199999999914e+00,5.371118000000000281e-01
5.500000000000000000e+01,1.308536299999999919e+01,4.240112200000000442e+00,4.093269699999999567e+00,1.414067499999999988e+01,6.699615799999999410e+01,7.990418100000000301e+00,1.701097199999999976e+00,5.512145999999999990e-01
5.600000000000000000e+01,1.335233299999999979e+01,4.348496800000000384e+00,4.099796900000000299e+00,1.411769499999999944e+01,6.707940899999999829e+01,7.943571699999999680e+00,1.735803299999999938e+00,5.653046000000000459e-01
