# Untitled0,TW,TE,TAW,TP,RE_over_IN,RTHI,FRD,KCF1,KCF,RCFS,H,HI,FMY,KTHP,THETA_1,DELTA,DELTAstar__1,N,CH,H,HU,CTH,THU,DSU,X
1.400000000000000000e+01,5.400000000000000000e+02,7.588999999999999773e+02,9.748999999999999773e+02,6.080000000000000000e+02,1.445792000000000000e+06,1.150000000000000000e+03,1.285179999999999989e+00,4.032869999999999955e+00,5.033699999999999619e+00,5.046529999999999738e+00,7.209999999999999742e-01,1.393699999999999939e+00,3.437829999999999941e+00,4.172699999999999743e-01,6.130000000000000466e-04,4.599999999999999922e-03,4.420000000000000101e-04,5.090189999999999770e+00,8.366109999999999935e-01,6.352000000000000441e-04,6.407000000000000152e-04,6.352000000000000441e-04,6.407000000000000152e-04,5.400000000000000069e-04,9.199999999999999845e-02
1.500000000000000000e+01,5.400000000000000000e+02,7.521000000000000227e+02,9.742000000000000455e+02,6.060000000000000000e+02,1.442588000000000000e+06,1.145000000000000000e+03,1.277020000000000044e+00,4.037189999999999834e+00,5.010340000000000238e+00,5.025870000000000282e+00,7.359999999999999876e-01,1.393599999999999950e+00,3.327560000000000073e+00,4.665799999999999947e-01,6.149999999999999868e-04,4.599999999999999922e-03,4.530000000000000064e-04,5.090189999999999770e+00,8.366109999999999935e-01,6.352000000000000441e-04,6.407000000000000152e-04,6.352000000000000441e-04,6.407000000000000152e-04,5.400000000000000069e-04,9.199999999999999845e-02
1.600000000000000000e+01,5.400000000000000000e+02,7.450000000000000000e+02,9.735000000000000000e+02,6.038999999999999773e+02,1.438454000000000000e+06,1.139000000000000000e+03,1.268429999999999946e+00,4.041859999999999786e+00,4.985829999999999984e+00,5.004500000000000171e+00,7.520999999999999908e-01,1.393499999999999961e+00,3.237880000000000091e+00,5.020200000000000218e-01,6.179999999999999513e-04,4.700000000000000185e-03,4.650000000000000270e-04,5.090189999999999770e+00,8.366109999999999935e-01,6.352000000000000441e-04,6.407000000000000152e-04,6.352000000000000441e-04,6.407000000000000152e-04,5.400000000000000069e-04,9.199999999999999845e-02
1.700000000000000000e+01,5.400000000000000000e+02,7.371000000000000227e+02,9.727000000000000455e+02,6.016000000000000227e+02,1.432968000000000000e+06,1.132000000000000000e+03,1.258829999999999893e+00,4.047649999999999970e+00,4.959050000000000402e+00,4.981410000000000338e+00,7.701999999999999957e-01,1.393299999999999983e+00,3.138160000000000061e+00,5.420800000000000063e-01,6.210000000000000242e-04,4.700000000000000185e-03,4.780000000000000178e-04,5.090189999999999770e+00,8.366109999999999935e-01,6.352000000000000441e-04,6.407000000000000152e-04,6.352000000000000441e-04,6.407000000000000152e-04,5.400000000000000069e-04,9.199999999999999845e-02
1.800000000000000000e+01,5.400000000000000000e+02,7.287000000000000455e+02,9.717999999999999545e+02,5.991000000000000227e+02,1.426190000000000000e+06,1.124000000000000000e+03,1.248609999999999998e+00,4.054120000000000168e+00,4.930819999999999759e+00,4.957480000000000331e+00,7.899000000000000465e-01,1.393199999999999994e+00,3.021020000000000039e+00,5.917799999999999727e-01,6.250000000000000130e-04,4.799999999999999580e-03,4.929999999999999487e-04,5.090189999999999770e+00,8.366109999999999935e-01,6.352000000000000441e-04,6.407000000000000152e-04,6.352000000000000441e-04,6.407000000000000152e-04,5.400000000000000069e-04,9.199999999999999845e-02
1.900000000000000000e+01,5.400000000000000000e+02,7.193999999999999773e+02,9.707999999999999545e+02,5.963999999999999773e+02,1.417621000000000000e+06,1.115000000000000000e+03,1.237270000000000092e+00,4.061869999999999870e+00,4.900059999999999860e+00,4.931849999999999845e+00,8.121000000000000441e-01,1.393100000000000005e+00,2.912520000000000220e+00,6.343400000000000150e-01,6.290000000000000018e-04,4.799999999999999580e-03,5.109999999999999525e-04,5.090189999999999770e+00,8.366109999999999935e-01,6.352000000000000441e-04,6.407000000000000152e-04,6.352000000000000441e-04,6.407000000000000152e-04,5.400000000000000069e-04,9.199999999999999845e-02
2.000000000000000000e+01,5.400000000000000000e+02,7.093999999999999773e+02,9.697999999999999545e+02,5.933999999999999773e+02,1.407082000000000000e+06,1.104000000000000000e+03,1.224869999999999903e+00,4.070999999999999730e+00,4.867020000000000124e+00,4.905009999999999870e+00,8.368999999999999773e-01,1.392900000000000027e+00,2.775679999999999925e+00,6.934099999999999708e-01,6.340000000000000149e-04,4.899999999999999842e-03,5.299999999999999807e-04,5.090189999999999770e+00,8.366109999999999935e-01,6.352000000000000441e-04,6.407000000000000152e-04,6.352000000000000441e-04,6.407000000000000152e-04,5.400000000000000069e-04,9.199999999999999845e-02
2.100000000000000000e+01,5.400000000000000000e+02,6.985000000000000000e+02,9.686000000000000227e+02,5.901000000000000227e+02,1.394296000000000000e+06,1.092000000000000000e+03,1.211310000000000109e+00,4.081550000000000011e+00,4.831380000000000230e+00,4.876960000000000406e+00,8.646000000000000352e-01,1.392800000000000038e+00,2.644690000000000207e+00,7.472900000000000098e-01,6.390000000000000280e-04,5.000000000000000104e-03,5.529999999999999976e-04,5.158689999999999998e+00,2.310268000000000210e+00,1.171399999999999959e-03,1.186399999999999998e-03,1.171399999999999959e-03,1.186399999999999998e-03,2.729999999999999788e-03,4.580000000000000182e-01
2.200000000000000000e+01,5.400000000000000000e+02,6.863999999999999773e+02,9.673999999999999773e+02,5.865000000000000000e+02,1.378516000000000000e+06,1.077000000000000000e+03,1.196099999999999941e+00,4.094509999999999650e+00,4.792410000000000281e+00,4.847389999999999866e+00,8.964999999999999636e-01,1.392600000000000060e+00,2.509079999999999977e+00,8.026900000000000146e-01,6.459999999999999814e-04,5.000000000000000104e-03,5.789999999999999791e-04,5.158689999999999998e+00,2.310268000000000210e+00,1.171399999999999959e-03,1.186399999999999998e-03,1.171399999999999959e-03,1.186399999999999998e-03,2.729999999999999788e-03,4.580000000000000182e-01
2.300000000000000000e+01,5.400000000000000000e+02,6.730000000000000000e+02,9.660000000000000000e+02,5.823999999999999773e+02,1.359289000000000000e+06,1.060000000000000000e+03,1.179089999999999971e+00,4.110210000000000363e+00,4.749900000000000233e+00,4.816119999999999735e+00,9.331000000000000405e-01,1.392500000000000071e+00,2.345419999999999838e+00,8.748500000000000165e-01,6.539999999999999590e-04,5.100000000000000366e-03,6.099999999999999737e-04,5.158689999999999998e+00,2.310268000000000210e+00,1.171399999999999959e-03,1.186399999999999998e-03,1.171399999999999959e-03,1.186399999999999998e-03,2.729999999999999788e-03,4.580000000000000182e-01
