# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,1.164840300000000006e+01,0.000000000000000000e+00,4.963674600000000048e+00,1.162256200000000028e+01,7.657832500000000664e+01,0.000000000000000000e+00,1.514292399999999983e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.185931899999999928e+01,4.341790599999999917e-02,4.972644100000000122e+00,1.160130599999999923e+01,7.666312200000000132e+01,4.029416599999999932e-02,1.541711499999999901e+00,5.644299999999999665e-03
3.000000000000000000e+00,1.207128400000000035e+01,8.710721999999999909e-02,4.979195999999999955e+00,1.158582900000000038e+01,7.672490600000000427e+01,6.553339900000000606e-02,1.569266899999999909e+00,1.132389999999999959e-02
4.000000000000000000e+00,1.228477200000000025e+01,1.311339199999999872e-01,4.983711999999999698e+00,1.157518499999999939e+01,7.676741499999999974e+01,7.848503599999999414e-02,1.597020300000000059e+00,1.704740000000000075e-02
5.000000000000000000e+00,1.250008300000000006e+01,1.755352699999999933e-01,4.986621999999999666e+00,1.156833699999999965e+01,7.679477300000000639e+01,8.230693299999999879e-02,1.625010800000000089e+00,2.281959999999999891e-02
6.000000000000000000e+00,1.271730499999999964e+01,2.203130600000000050e-01,4.988414299999999635e+00,1.156412300000000037e+01,7.681161099999999919e+01,8.058632000000000295e-02,1.653249699999999933e+00,2.864070000000000157e-02
7.000000000000000000e+00,1.312374600000000058e+01,3.040317200000000053e-01,4.990390299999999613e+00,1.155948099999999990e+01,7.683016299999999887e+01,7.382777499999999826e-02,1.706086999999999909e+00,3.952409999999999951e-02
8.000000000000000000e+00,1.353037899999999993e+01,3.877150200000000213e-01,4.991594499999999712e+00,1.155665399999999998e+01,7.684146300000000451e+01,6.775913399999999864e-02,1.758949300000000049e+00,5.040300000000000336e-02
9.000000000000000000e+00,1.393714699999999951e+01,4.713675999999999977e-01,4.992431599999999747e+00,1.155469000000000079e+01,7.684931500000000426e+01,6.280057199999999895e-02,1.811829200000000029e+00,6.127780000000000032e-02
1.000000000000000000e+01,1.434402099999999969e+01,5.549957199999999702e-01,4.993057900000000160e+00,1.155321999999999960e+01,7.685518999999999323e+01,5.873069300000000048e-02,1.864722699999999955e+00,7.214940000000000242e-02
1.100000000000000000e+01,1.475098000000000020e+01,6.386040600000000289e-01,4.993549800000000261e+00,1.155206699999999920e+01,7.685980100000000448e+01,5.533525699999999881e-02,1.917627399999999982e+00,8.301849999999999508e-02
1.200000000000000000e+01,1.515801100000000012e+01,7.221960499999999783e-01,4.993949399999999983e+00,1.155112899999999954e+01,7.686354799999999443e+01,5.245505300000000148e-02,1.970541400000000110e+00,9.388549999999999673e-02
1.300000000000000000e+01,1.556510100000000030e+01,8.057742799999999539e-01,4.994282499999999736e+00,1.155034799999999962e+01,7.686667099999999664e+01,4.997547399999999890e-02,2.023463200000000128e+00,1.047507000000000021e-01
1.400000000000000000e+01,1.597224499999999914e+01,8.893406999999999840e-01,4.994565899999999559e+00,1.154968399999999917e+01,7.686932699999999841e+01,4.781336299999999762e-02,2.076391800000000121e+00,1.156143000000000032e-01
1.500000000000000000e+01,1.637943399999999983e+01,9.728968799999999639e-01,4.994810700000000381e+00,1.154911000000000065e+01,7.687162100000000464e+01,4.590726400000000318e-02,2.129326400000000064e+00,1.264765999999999946e-01
1.600000000000000000e+01,1.678666300000000078e+01,1.056443999999999939e+00,4.995025000000000048e+00,1.154860799999999976e+01,7.687363000000000568e+01,4.421091299999999752e-02,2.182266199999999934e+00,1.373377000000000070e-01
1.700000000000000000e+01,1.719392900000000068e+01,1.139983200000000085e+00,4.995214700000000008e+00,1.154816300000000062e+01,7.687540799999999308e+01,4.268878799999999835e-02,2.235210700000000106e+00,1.481977999999999906e-01
