# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
2.000000000000000000e+00,2.919817299999999949e-01,4.167860400000000104e-02,1.077671800000000069e+00,6.811384099999999364e+01,9.274351299999999965e-01,6.137282899999999680e-02,3.795760000000000106e-02,5.418199999999999752e-03
3.000000000000000000e+00,3.417133099999999923e-01,1.584491899999999898e-01,1.101160700000000103e+00,6.524855800000000272e+01,1.358559700000000037e+00,2.975602700000000156e-01,4.442270000000000246e-02,2.059839999999999935e-02
4.000000000000000000e+00,4.062569799999999898e-01,2.912919099999999872e-01,1.135275000000000034e+00,6.174432800000000299e+01,2.057423200000000119e+00,7.115875000000000394e-01,5.281340000000000340e-02,3.786790000000000295e-02
5.000000000000000000e+00,4.737533199999999778e-01,4.135792799999999936e-01,1.174642299999999917e+00,5.835585600000000284e+01,2.947409700000000132e+00,1.268899100000000058e+00,6.158790000000000098e-02,5.376530000000000198e-02
6.000000000000000000e+00,5.411183899999999491e-01,5.232601199999999952e-01,1.217431399999999941e+00,5.522533700000000323e+01,3.992343299999999928e+00,1.948891900000000010e+00,7.034540000000000237e-02,6.802379999999999538e-02
7.000000000000000000e+00,6.066717600000000044e-01,6.210752899999999466e-01,1.262462699999999938e+00,5.238244199999999751e+01,5.158378400000000141e+00,2.729937300000000011e+00,7.886730000000000129e-02,8.073980000000000046e-02
8.000000000000000000e+00,6.692593999999999488e-01,7.081108000000000402e-01,1.308811699999999911e+00,4.982271200000000277e+01,6.412149799999999900e+00,3.589679999999999982e+00,8.700370000000000326e-02,9.205439999999999456e-02
9.000000000000000000e+00,7.280411100000000468e-01,7.853707399999999561e-01,1.355692399999999909e+00,4.752995500000000106e+01,7.721528000000000169e+00,4.505963399999999730e+00,9.464530000000000165e-02,1.020982000000000001e-01
1.000000000000000000e+01,7.824248000000000314e-01,8.537289999999999601e-01,1.402418900000000024e+00,4.548391800000000273e+01,9.056730399999999293e+00,5.457722799999999985e+00,1.017152000000000056e-01,1.109847999999999946e-01
1.100000000000000000e+01,8.320392599999999472e-01,9.139571600000000462e-01,1.448397300000000110e+00,4.366323200000000071e+01,1.039130800000000043e+01,6.425726799999999628e+00,1.081651000000000001e-01,1.188144000000000006e-01
1.200000000000000000e+01,8.767143899999999546e-01,9.667604699999999829e-01,1.493126500000000023e+00,4.204666399999999982e+01,1.170285400000000031e+01,7.393118300000000254e+00,1.139729000000000020e-01,1.256789000000000101e-01
1.300000000000000000e+01,9.164590799999999815e-01,1.012806400000000107e+00,1.536202400000000079e+00,4.061371199999999959e+01,1.297336899999999993e+01,8.345737400000000861e+00,1.191397000000000012e-01,1.316647999999999985e-01
1.400000000000000000e+01,9.514344099999999527e-01,1.052742800000000090e+00,1.577318699999999962e+00,3.934491299999999825e+01,1.418931399999999954e+01,9.272236299999999432e+00,1.236865000000000048e-01,1.368565999999999949e-01
1.500000000000000000e+01,9.819232399999999750e-01,1.087206399999999906e+00,1.616265199999999957e+00,3.822201700000000102e+01,1.534138300000000044e+01,1.016401399999999988e+01,1.276500000000000135e-01,1.413368000000000124e-01
1.600000000000000000e+01,1.008298499999999986e+00,1.116824599999999945e+00,1.652921400000000096e+00,3.722808400000000262e+01,1.642407899999999898e+01,1.101501700000000028e+01,1.310787999999999953e-01,1.451871999999999885e-01
1.700000000000000000e+01,1.030992799999999932e+00,1.142212100000000063e+00,1.687247299999999894e+00,3.634751700000000341e+01,1.743517699999999948e+01,1.182144699999999915e+01,1.340291000000000121e-01,1.484875999999999974e-01
1.800000000000000000e+01,1.050470800000000038e+00,1.163965099999999975e+00,1.719272499999999981e+00,3.556607000000000340e+01,1.837512399999999957e+01,1.258142299999999913e+01,1.365611999999999937e-01,1.513154999999999917e-01
