# POINT,X,Y,Mach,FLOW_ANG__D,WALTAN,SECDIF
3.500000000000000000e+01,8.254406599999999372e+00,3.182483500000000021e+00,3.653966800000000070e+00,1.183683899999999944e+01,2.095819899999999958e-01,-2.150471500000000064e-02
3.600000000000000000e+01,9.476138300000000569e+00,3.422569999999999890e+00,3.800702699999999989e+00,1.052481500000000025e+01,1.857870600000000039e-01,-1.812355599999999900e-02
3.700000000000000000e+01,1.077888199999999941e+01,3.649702800000000025e+00,3.939089200000000179e+00,9.316722000000000392e+00,1.640559799999999901e-01,-1.582539999999999988e-02
3.800000000000000000e+01,1.215281200000000084e+01,3.860188799999999976e+00,4.068445099999999925e+00,8.169157699999999522e+00,1.435527699999999962e-01,-1.406115200000000037e-02
3.900000000000000000e+01,1.358485800000000054e+01,4.051363399999999615e+00,4.188364400000000209e+00,7.108261800000000186e+00,1.247030199999999978e-01,-1.240392400000000020e-02
4.000000000000000000e+01,1.506056399999999940e+01,4.222014599999999618e+00,4.298384800000000006e+00,6.138707199999999808e+00,1.075524999999999953e-01,-1.099198799999999941e-02
4.100000000000000000e+01,1.656307599999999880e+01,4.371240600000000143e+00,4.398405200000000015e+00,5.256446900000000255e+00,9.200056299999999354e-02,-9.748748899999999662e-03
4.200000000000000000e+01,1.807555699999999987e+01,4.499249200000000393e+00,4.488360700000000314e+00,4.469843700000000197e+00,7.817214100000000054e-02,-8.608292899999999900e-03
4.300000000000000000e+01,1.958049199999999956e+01,4.607215799999999639e+00,4.568487099999999579e+00,3.777055499999999899e+00,6.601771300000000564e-02,-7.634678100000000245e-03
4.400000000000000000e+01,2.106147299999999944e+01,4.696644599999999947e+00,4.639141099999999796e+00,3.168353900000000056e+00,5.535464100000000304e-02,-6.827507099999999621e-03
4.500000000000000000e+01,2.250353099999999884e+01,4.769406000000000034e+00,4.700829699999999889e+00,2.635580299999999987e+00,4.603202499999999725e-02,-6.137824400000000194e-03
4.600000000000000000e+01,2.389370800000000017e+01,4.827468999999999788e+00,4.754177199999999992e+00,2.172620400000000007e+00,3.793756400000000001e-02,-5.519019499999999745e-03
4.700000000000000000e+01,2.522140699999999924e+01,4.872983299999999574e+00,4.799886500000000389e+00,1.775310399999999955e+00,3.099493199999999934e-02,-4.957758900000000350e-03
4.800000000000000000e+01,2.647864300000000171e+01,4.908039600000000391e+00,4.838701000000000363e+00,1.436955200000000099e+00,2.508485800000000154e-02,-4.455701799999999685e-03
4.900000000000000000e+01,2.766012800000000027e+01,4.934569599999999667e+00,4.871364699999999992e+00,1.151071799999999978e+00,2.009269600000000017e-02,-4.001562499999999911e-03
5.000000000000000000e+01,2.876297500000000085e+01,4.954297099999999787e+00,4.898613000000000106e+00,9.114955000000000140e-01,1.590994000000000089e-02,-3.586352899999999989e-03
5.100000000000000000e+01,2.978661599999999865e+01,4.968703900000000395e+00,4.921135800000000060e+00,7.124276600000000181e-01,1.243484899999999956e-02,-3.202393300000000095e-03
5.200000000000000000e+01,3.073235599999999934e+01,4.979031799999999564e+00,4.939577599999999791e+00,5.485539000000000387e-01,9.574364300000000674e-03,-2.843287999999999805e-03
5.300000000000000000e+01,3.160314699999999988e+01,4.986289799999999772e+00,4.954519099999999732e+00,4.150333999999999968e-01,7.243826099999999685e-03,-2.503692999999999978e-03
5.400000000000000000e+01,3.240319699999999870e+01,4.991283199999999809e+00,4.966479800000000111e+00,3.075411699999999748e-01,5.367657599999999841e-03,-2.179332600000000175e-03
5.500000000000000000e+01,3.313764900000000324e+01,4.994636400000000087e+00,4.975919099999999595e+00,2.222367899999999896e-01,3.878783199999999865e-03,-1.867512999999999899e-03
5.600000000000000000e+01,3.381234599999999801e+01,4.996827699999999872e+00,4.983239400000000430e+00,1.557149300000000014e-01,2.717745000000000143e-03,-1.567063199999999901e-03
5.700000000000000000e+01,3.443359399999999937e+01,4.998212900000000403e+00,4.988791899999999835e+00,1.049754700000000013e-01,1.832169600000000016e-03,-1.278594999999999992e-03
5.800000000000000000e+01,3.500801599999999780e+01,4.999054199999999781e+00,4.992883400000000194e+00,6.736435100000000287e-02,1.175730299999999933e-03,-1.004948199999999934e-03
5.900000000000000000e+01,3.554242399999999691e+01,4.999538900000000119e+00,4.995783199999999979e+00,4.051994999999999902e-02,7.072066600000000104e-04,-7.510993499999999833e-04
6.000000000000000000e+01,3.604372800000000154e+01,4.999799499999999952e+00,4.997730699999999970e+00,2.233095800000000145e-02,3.897487699999999957e-04,-5.242141599999999629e-04
6.100000000000000000e+01,3.651888100000000037e+01,4.999926099999999707e+00,4.998940300000000114e+00,1.087355899999999966e-02,1.897794099999999882e-04,-3.323847500000000062e-04
6.200000000000000000e+01,3.697480999999999796e+01,4.999979100000000010e+00,4.999606100000000275e+00,4.408247500000000291e-03,7.693843300000000550e-05,-1.833729900000000070e-04
6.300000000000000000e+01,3.741829599999999800e+01,4.999996200000000002e+00,4.999904500000000418e+00,1.333683200000000072e-03,2.327716300000000013e-05,-8.193254200000000360e-05
6.400000000000000000e+01,3.785577099999999717e+01,4.999999700000000047e+00,4.999992400000000004e+00,2.459486200000000271e-04,4.292613099999999865e-06,-2.660099600000000067e-05
6.500000000000000000e+01,3.829287099999999811e+01,5.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
