# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
2.000000000000000000e+01,6.115691999999999656e-02,7.918934899999999777e-01,1.037590800000000035e+00,7.453017199999999320e+01,3.202464999999999895e-01,1.461240600000000001e-01,7.950399999999999828e-03,1.029462000000000016e-01
2.100000000000000000e+01,7.840034799999999471e-02,8.495415800000000184e-01,1.055082499999999923e+00,7.140444599999999298e+01,5.617794999999999872e-01,3.698911599999999966e-01,1.019199999999999967e-02,1.104403999999999941e-01
2.200000000000000000e+01,1.057606900000000044e-01,9.254079600000000294e-01,1.082418300000000055e+00,6.749666200000000060e+01,1.010740799999999995e+00,7.711678199999999483e-01,1.374889999999999966e-02,1.203029999999999933e-01
2.300000000000000000e+01,1.382885799999999943e-01,1.001151899999999983e+00,1.115258499999999930e+00,6.372156700000000029e+01,1.637972699999999948e+00,1.318019400000000063e+00,1.797750000000000042e-02,1.301497000000000070e-01
2.400000000000000000e+01,1.732134999999999925e-01,1.071854099999999921e+00,1.151728800000000108e+00,6.025705800000000067e+01,2.419803100000000207e+00,1.989770599999999945e+00,2.251780000000000101e-02,1.393409999999999926e-01
