# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.300000000000000000e+01,1.411243899999999885e-01,5.001432500000000392e-01,1.036832500000000046e+00,7.468230800000000613e+01,3.107556100000000154e-01,2.535275699999999799e-01,1.834620000000000001e-02,6.501859999999999584e-02
1.400000000000000000e+01,1.680483999999999867e-01,5.902454799999999890e-01,1.057951000000000086e+00,7.094810900000000231e+01,6.051335500000000200e-01,4.881609299999999929e-01,2.184629999999999905e-02,7.673190000000000566e-02
1.500000000000000000e+01,2.066874099999999881e-01,6.946277600000000385e-01,1.088859199999999916e+00,6.669217799999999841e+01,1.126988399999999890e+00,9.002716499999999789e-01,2.686940000000000162e-02,9.030159999999999576e-02
1.600000000000000000e+01,2.499054800000000132e-01,7.917726999999999959e-01,1.124713099999999910e+00,6.276232699999999909e+01,1.832972400000000057e+00,1.456064800000000048e+00,3.248770000000000130e-02,1.029304999999999942e-01
1.700000000000000000e+01,2.947563100000000214e-01,8.792746000000000173e-01,1.163813800000000009e+00,5.923179900000000231e+01,2.694956799999999930e+00,2.135117099999999990e+00,3.831829999999999958e-02,1.143056999999999962e-01
1.800000000000000000e+01,3.393398200000000142e-01,9.572026399999999935e-01,1.205037700000000100e+00,5.608328399999999903e+01,3.682578900000000210e+00,2.915676799999999957e+00,4.411419999999999925e-02,1.244362999999999997e-01
1.900000000000000000e+01,3.823071399999999898e-01,1.026112700000000100e+00,1.247491899999999987e+00,5.328397100000000108e+01,4.764280799999999871e+00,3.775123999999999924e+00,4.969989999999999825e-02,1.333947000000000049e-01
2.000000000000000000e+01,4.226861800000000224e-01,1.086638299999999946e+00,1.290413800000000055e+00,5.080006399999999900e+01,5.908921399999999657e+00,4.690985999999999656e+00,5.494919999999999666e-02,1.412629999999999997e-01
2.100000000000000000e+01,4.598033000000000259e-01,1.139403699999999908e+00,1.333139999999999992e+00,4.859980199999999684e+01,7.087229500000000293e+00,5.641889599999999838e+00,5.977439999999999837e-02,1.481224999999999903e-01
