# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.100000000000000000e+01,1.647941500000000004e-01,4.167860400000000243e-01,1.039876599999999929e+00,7.408146000000000697e+01,3.493863999999999859e-01,2.621771299999999805e-01,2.142319999999999988e-02,5.418219999999999981e-02
1.200000000000000000e+01,1.952086299999999941e-01,5.148888000000000353e-01,1.061688399999999977e+00,7.037243300000000090e+01,6.630445499999999548e-01,4.979874599999999929e-01,2.537709999999999966e-02,6.693549999999999500e-02
1.300000000000000000e+01,2.377327599999999874e-01,6.264298700000000553e-01,1.093357499999999982e+00,6.615095700000000534e+01,1.210260399999999903e+00,9.114105500000000415e-01,3.090530000000000013e-02,8.143590000000000551e-02
1.400000000000000000e+01,2.845468700000000073e-01,7.291463000000000250e-01,1.129925999999999986e+00,6.225320599999999871e+01,1.942911899999999914e+00,1.468378100000000019e+00,3.699109999999999898e-02,9.478899999999999826e-02
1.500000000000000000e+01,3.327027499999999915e-01,8.211682300000000545e-01,1.169704400000000089e+00,5.875055199999999900e+01,2.831622499999999931e+00,2.148419000000000079e+00,4.325140000000000234e-02,1.067518999999999968e-01
1.600000000000000000e+01,3.803429300000000235e-01,9.029183699999999702e-01,1.211580799999999902e+00,5.562581500000000290e+01,3.845448999999999895e+00,2.929805800000000016e+00,4.944459999999999827e-02,1.173793999999999949e-01
1.700000000000000000e+01,4.261533599999999811e-01,9.751638099999999643e-01,1.254670600000000080e+00,5.284665499999999838e+01,4.952515299999999954e+00,3.789972699999999861e+00,5.539990000000000192e-02,1.267713000000000034e-01
1.800000000000000000e+01,4.691854200000000197e-01,1.038666799999999890e+00,1.298215799999999920e+00,5.037975500000000295e+01,6.121498299999999837e+00,4.706509699999999796e+00,6.099410000000000248e-02,1.350266999999999995e-01
1.900000000000000000e+01,5.087804799999999794e-01,1.094132700000000069e+00,1.341555199999999948e+00,4.819377099999999814e+01,7.323025900000000199e+00,5.658104400000000034e+00,6.614150000000000584e-02,1.422373000000000109e-01
