# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
8.000000000000000000e+00,2.026597400000000049e-01,2.917502299999999993e-01,1.047751099999999935e+00,7.263544899999999416e+01,4.555472199999999749e-01,2.481085199999999991e-01,2.634579999999999908e-02,3.792750000000000288e-02
9.000000000000000000e+00,2.389078000000000035e-01,3.993401999999999785e-01,1.070311599999999919e+00,6.911653400000000147e+01,8.024669899999999911e-01,4.845949900000000032e-01,3.105799999999999880e-02,5.191420000000000062e-02
1.000000000000000000e+01,2.879277499999999823e-01,5.201677000000000106e-01,1.102930500000000036e+00,6.504989000000000487e+01,1.392846000000000029e+00,8.989092100000000141e-01,3.743060000000000137e-02,6.762179999999999580e-02
1.100000000000000000e+01,3.407555700000000076e-01,6.305676500000000351e-01,1.140481999999999996e+00,6.126138100000000009e+01,2.170490000000000030e+00,1.456732399999999927e+00,4.429820000000000285e-02,8.197379999999999944e-02
1.200000000000000000e+01,3.944447200000000264e-01,7.290715100000000337e-01,1.181250600000000039e+00,5.783950600000000009e+01,3.104042000000000190e+00,2.137487500000000207e+00,5.127779999999999838e-02,9.477929999999999688e-02
1.300000000000000000e+01,4.472098899999999988e-01,8.164525599999999939e-01,1.224119900000000039e+00,5.477700300000000055e+01,4.161674999999999791e+00,2.919452600000000064e+00,5.813730000000000286e-02,1.061388000000000054e-01
1.400000000000000000e+01,4.977946799999999894e-01,8.937103899999999657e-01,1.268203900000000051e+00,5.204711499999999802e+01,5.311041900000000204e+00,3.780121299999999795e+00,6.471330000000000138e-02,1.161824000000000051e-01
1.500000000000000000e+01,5.452887600000000390e-01,9.617571200000000209e-01,1.312743900000000075e+00,4.961988300000000152e+01,6.520555800000000346e+00,4.697164199999999568e+00,7.088750000000000606e-02,1.250284000000000117e-01
1.600000000000000000e+01,5.890575300000000514e-01,1.021395300000000006e+00,1.357076799999999972e+00,4.746613899999999830e+01,7.760703999999999603e+00,5.649349899999999813e+00,7.657750000000000667e-02,1.327813999999999939e-01
1.700000000000000000e+01,6.287053799999999804e-01,1.073347700000000016e+00,1.400628800000000007e+00,4.555844600000000355e+01,9.005135199999999784e+00,6.617306400000000366e+00,8.173170000000000435e-02,1.395351999999999981e-01
1.800000000000000000e+01,6.640475500000000419e-01,1.118289300000000042e+00,1.442917900000000087e+00,4.387124399999999724e+01,1.023142299999999949e+01,7.584075099999999736e+00,8.632620000000000571e-02,1.453775999999999957e-01
