# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,9.589268600000000475e+00,0.000000000000000000e+00,4.755267400000000144e+00,1.213953000000000060e+01,7.453592399999999429e+01,0.000000000000000000e+00,1.246604899999999905e+00,0.000000000000000000e+00
2.000000000000000000e+00,9.789377099999999388e+00,4.317584000000000005e-02,4.785637200000000036e+00,1.206132999999999988e+01,7.484240499999999940e+01,1.503504200000000124e-01,1.272618999999999945e+00,5.612899999999999660e-03
3.000000000000000000e+00,9.988149699999999243e+00,8.629737699999999456e-02,4.812198500000000045e+00,1.199376400000000054e+01,7.510791899999999544e+01,2.746135299999999946e-01,1.298459500000000100e+00,1.121869999999999985e-02
4.000000000000000000e+00,1.018643199999999993e+01,1.294917999999999902e-01,4.835179400000000349e+00,1.193591799999999914e+01,7.533575700000000097e+01,3.746423799999999971e-01,1.324236200000000085e+00,1.683389999999999886e-02
5.000000000000000000e+00,1.038501300000000072e+01,1.728798699999999910e-01,4.854811299999999719e+00,1.188694500000000076e+01,7.552902299999999514e+01,4.523236500000000215e-01,1.350051700000000077e+00,2.247439999999999855e-02
6.000000000000000000e+00,1.058460200000000029e+01,2.165706500000000034e-01,4.871335199999999865e+00,1.184603800000000007e+01,7.569072099999999637e+01,5.096192499999999681e-01,1.375998300000000008e+00,2.815420000000000075e-02
7.000000000000000000e+00,1.078580999999999968e+01,2.606557500000000194e-01,4.885008400000000250e+00,1.181240200000000051e+01,7.582385999999999626e+01,5.486327600000000526e-01,1.402155299999999993e+00,3.388519999999999727e-02
8.000000000000000000e+00,1.098911799999999950e+01,3.052032700000000265e-01,4.896114200000000416e+00,1.178522399999999948e+01,7.593155699999999797e+01,5.716800499999999952e-01,1.428585400000000005e+00,3.967640000000000056e-02
9.000000000000000000e+00,1.119484699999999933e+01,3.502511300000000216e-01,4.904971100000000028e+00,1.176363899999999951e+01,7.601716399999999396e+01,5.813688200000000084e-01,1.455330100000000071e+00,4.553259999999999946e-02
1.000000000000000000e+01,1.140312100000000051e+01,3.958000600000000091e-01,4.911943499999999574e+00,1.174670200000000087e+01,7.608438200000000506e+01,5.806757799999999747e-01,1.482405799999999996e+00,5.145399999999999974e-02
1.100000000000000000e+01,1.161382500000000029e+01,4.418059999999999765e-01,4.917451699999999981e+00,1.173335699999999981e+01,7.613737500000000580e+01,5.730205000000000437e-01,1.509797300000000009e+00,5.743480000000000113e-02
