# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
2.300000000000000000e+01,2.526418399999999856e-02,9.169292999999999472e-01,1.042502700000000004e+00,7.358299599999999430e+01,3.838213799999999898e-01,6.653828000000000520e-02,3.284299999999999980e-03,1.192007999999999956e-01
2.400000000000000000e+01,3.942280499999999827e-02,9.618555600000000538e-01,1.058144600000000102e+00,7.091777899999999590e+01,6.080940700000000421e-01,2.826312699999999900e-01,5.125000000000000215e-03,1.250411999999999912e-01
2.500000000000000000e+01,6.281921899999999559e-02,1.025211700000000059e+00,1.083569299999999958e+00,6.735020299999999338e+01,1.031249000000000082e+00,6.758642400000000050e-01,8.166500000000000148e-03,1.332774999999999932e-01
2.600000000000000000e+01,9.138643999999999934e-02,1.091217700000000068e+00,1.114830599999999894e+00,6.376614000000000004e+01,1.629286900000000093e+00,1.216078200000000109e+00,1.188020000000000048e-02,1.418582999999999927e-01
2.700000000000000000e+01,1.225386799999999971e-01,1.154252099999999892e+00,1.149982000000000060e+00,6.040973199999999821e+01,2.380639599999999856e+00,1.882441800000000054e+00,1.592999999999999972e-02,1.500527999999999862e-01
