# POINT,X,X_IN,Mach,DM_over_DX,D2M_over_DX2,D3M_over_DX3,W_Q_over_Astar,DW_over_DX,D2W_over_DX2,D3W_over_DX3
2.700000000000000000e+01,3.754719999999999835e+00,4.881099999999999883e-01,2.749216000000000104e+00,4.881118999999999875e-01,-2.383321000000000051e-02,-1.954277999999999918e-02,1.900295000000000067e+00,1.343303999999999887e-01,-4.962127999999999678e-02,1.629150999999999863e-02
2.800000000000000000e+01,3.438260000000000094e+00,4.469699999999999784e-01,2.593659999999999854e+00,4.946525999999999978e-01,-1.743016999999999830e-02,-2.092391000000000043e-02,1.855213000000000001e+00,1.508556000000000064e-01,-5.482726999999999740e-02,1.649329000000000073e-02
2.900000000000000000e+01,3.129030000000000200e+00,4.067700000000000204e-01,2.439967999999999915e+00,4.990206999999999837e-01,-1.075108999999999961e-02,-2.227350000000000163e-02,1.805860999999999938e+00,1.685925000000000062e-01,-5.985489000000000087e-02,1.585900000000000157e-02
3.000000000000000000e+01,2.827430000000000110e+00,3.675700000000000078e-01,2.289080999999999921e+00,5.012301999999999591e-01,-3.835090000000000200e-03,-2.358974000000000140e-02,1.752221999999999946e+00,1.873440000000000105e-01,-6.440782999999999925e-02,1.411986999999999964e-02
3.100000000000000000e+01,2.533970000000000056e+00,3.294199999999999906e-01,2.141920999999999964e+00,5.013214000000000281e-01,3.275700999999999787e-03,-2.487052000000000013e-02,1.694412000000000029e+00,2.068147999999999931e-01,-6.813547999999999827e-02,1.102525000000000033e-02
3.200000000000000000e+01,2.249179999999999957e+00,2.923899999999999832e-01,1.999382999999999910e+00,4.993633000000000099e-01,1.053539000000000038e-02,-2.611339999999999842e-02,1.632713000000000081e+00,2.266090000000000049e-01,-7.065662000000000331e-02,6.388938999999999729e-03
3.300000000000000000e+01,1.973749999999999893e+00,2.565899999999999848e-01,1.862333999999999934e+00,4.954558000000000018e-01,1.789336999999999872e-02,-2.731545999999999974e-02,1.567601000000000022e+00,2.462390999999999885e-01,-7.159767000000000214e-02,1.411228999999999901e-04
3.400000000000000000e+01,1.708479999999999999e+00,2.220999999999999919e-01,1.731619999999999937e+00,4.897345000000000170e-01,2.529293999999999987e-02,-2.847318000000000071e-02,1.499767000000000072e+00,2.651508000000000198e-01,-7.064304000000000416e-02,-7.626281000000000379e-03
3.500000000000000000e+01,1.454369999999999941e+00,1.890699999999999881e-01,1.608068000000000053e+00,4.823760999999999743e-01,3.266920000000000240e-02,-2.958219999999999947e-02,1.430134999999999934e+00,2.827627999999999808e-01,-6.759134999999999449e-02,-1.663591999999999849e-02
3.600000000000000000e+01,1.212699999999999889e+00,1.576500000000000123e-01,1.492515999999999954e+00,4.736067999999999945e-01,3.994578000000000018e-02,-3.063692000000000151e-02,1.359869999999999912e+00,2.985189999999999788e-01,-6.240799999999999820e-02,-2.643573000000000103e-02
3.700000000000000000e+01,9.851799999999999446e-01,1.280699999999999894e-01,1.385856999999999895e+00,4.637168999999999874e-01,4.702917999999999682e-02,-3.162986999999999743e-02,1.290392999999999901e+00,3.119486000000000203e-01,-5.526525000000000187e-02,-3.644764999999999810e-02
3.800000000000000000e+01,7.742499999999999938e-01,1.006500000000000034e-01,1.289139000000000035e+00,4.530862999999999974e-01,5.379811999999999789e-02,-3.255045000000000160e-02,1.223424000000000067e+00,3.227242000000000166e-01,-4.656679999999999847e-02,-4.604418999999999873e-02
3.900000000000000000e+01,5.836999999999999966e-01,7.588000000000000300e-02,1.203818000000000055e+00,4.422390999999999961e-01,6.007981999999999906e-02,-3.338206999999999980e-02,1.161138999999999921e+00,3.307091999999999810e-01,-3.697141000000000316e-02,-5.462552999999999853e-02
4.000000000000000000e+01,4.206400000000000139e-01,5.467999999999999944e-02,1.132532000000000094e+00,4.319959999999999911e-01,6.558089000000000279e-02,-3.409368000000000121e-02,1.106764999999999999e+00,3.359797999999999951e-01,-2.748685000000000017e-02,-6.164118999999999848e-02
4.100000000000000000e+01,3.091400000000000259e-01,4.018999999999999656e-02,1.084778000000000020e+00,4.244704000000000255e-01,6.940965999999999803e-02,-3.458031999999999773e-02,1.069145000000000012e+00,3.386521000000000114e-01,-2.035963999999999829e-02,-6.614818000000000087e-02
