# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,9.189156099999999938e+00,0.000000000000000000e+00,4.685745700000000014e+00,1.232244999999999990e+01,7.382247800000000382e+01,0.000000000000000000e+00,1.194590299999999994e+00,0.000000000000000000e+00
2.000000000000000000e+00,9.386937299999999595e+00,4.335867499999999930e-02,4.720860000000000056e+00,1.222937100000000044e+01,7.418491099999999960e+01,1.783373900000000123e-01,1.220301800000000103e+00,5.636600000000000291e-03
3.000000000000000000e+00,9.582808899999999852e+00,8.657521799999999546e-02,4.752009300000000103e+00,1.214798000000000044e+01,7.450285999999999831e+01,3.287622599999999728e-01,1.245765199999999906e+00,1.125480000000000057e-02
4.000000000000000000e+00,9.777645400000000819e+00,1.297821600000000075e-01,4.779412599999999678e+00,1.207727500000000020e+01,7.477984100000000467e+01,4.531128700000000009e-01,1.271093900000000110e+00,1.687169999999999989e-02
5.000000000000000000e+00,9.972278499999999823e+00,1.731094099999999913e-01,4.803287100000000365e+00,1.201634699999999967e+01,7.501909999999999457e+01,5.532121300000000241e-01,1.296396199999999999e+00,2.250419999999999851e-02
6.000000000000000000e+00,1.016747999999999941e+01,2.166791999999999885e-01,4.823853200000000285e+00,1.196435699999999969e+01,7.522368299999999408e+01,6.309023400000000059e-01,1.321772399999999958e+00,2.816830000000000028e-02
7.000000000000000000e+00,1.036394199999999977e+01,2.606006000000000156e-01,4.841339399999999848e+00,1.192050799999999988e+01,7.539653400000000261e+01,6.881023800000000135e-01,1.347312400000000077e+00,3.387810000000000127e-02
8.000000000000000000e+00,1.056225300000000011e+01,3.049637800000000176e-01,4.855990399999999596e+00,1.188401700000000005e+01,7.554058999999999457e+01,7.268736199999999981e-01,1.373092900000000061e+00,3.964530000000000137e-02
9.000000000000000000e+00,1.076286999999999949e+01,3.498336799999999802e-01,4.868075400000000386e+00,1.185408600000000057e+01,7.565889199999999448e+01,7.494907800000000231e-01,1.399173100000000058e+00,4.547840000000000216e-02
1.000000000000000000e+01,1.096608799999999917e+01,3.952431900000000220e-01,4.877898300000000020e+00,1.182986900000000041e+01,7.575470300000000634e+01,7.585216700000000367e-01,1.425591400000000064e+00,5.138159999999999950e-02
