# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.400000000000000000e+01,1.295916699999999921e-01,5.418218599999999885e-01,1.035908100000000109e+00,7.487010499999999524e+01,2.993065599999999993e-01,2.449800099999999980e-01,1.684690000000000146e-02,7.043679999999999386e-02
1.500000000000000000e+01,1.548948300000000111e-01,6.275361200000000306e-01,1.056615499999999930e+00,7.115893400000000213e+01,5.848284599999999944e-01,4.787353799999999882e-01,2.013629999999999934e-02,8.157970000000000499e-02
1.600000000000000000e+01,1.917147399999999946e-01,7.281084100000000392e-01,1.087100399999999967e+00,6.690828899999999635e+01,1.094888899999999943e+00,8.899277599999999566e-01,2.492290000000000130e-02,9.465410000000000490e-02
1.700000000000000000e+01,2.332419599999999982e-01,8.223593599999999837e-01,1.122575499999999948e+00,6.297503999999999991e+01,1.788380199999999975e+00,1.444928100000000049e+00,3.032150000000000123e-02,1.069066999999999934e-01
1.800000000000000000e+01,2.765364799999999734e-01,9.075529500000000249e-01,1.161328799999999939e+00,5.943835700000000344e+01,2.637790600000000207e+00,2.123319799999999979e+00,3.594970000000000110e-02,1.179819000000000007e-01
1.900000000000000000e+01,3.196801300000000068e-01,9.835531299999999977e-01,1.202225499999999947e+00,5.628312600000000288e+01,3.613050900000000176e+00,2.903327099999999827e+00,4.155840000000000228e-02,1.278619000000000006e-01
2.000000000000000000e+01,3.613084100000000243e-01,1.050796800000000086e+00,1.244366300000000036e+00,5.347737300000000005e+01,4.682765999999999984e+00,3.762296099999999921e+00,4.697010000000000074e-02,1.366035999999999917e-01
