# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,4.206430299999999733e-01,0.000000000000000000e+00,1.132532199999999989e+00,6.200360299999999825e+01,1.998493800000000098e+00,0.000000000000000000e+00,5.468359999999999888e-02,0.000000000000000000e+00
2.000000000000000000e+00,4.967715200000000220e-01,1.357860599999999862e-01,1.167641099999999987e+00,5.891780399999999673e+01,2.783569200000000077e+00,4.132691700000000190e-01,6.458029999999999327e-02,1.765219999999999984e-02
3.000000000000000000e+00,5.756026899999999724e-01,2.625446499999999905e-01,1.208266099999999899e+00,5.585627600000000115e+01,3.762749499999999969e+00,9.697560100000000016e-01,7.482830000000000037e-02,3.413080000000000280e-02
4.000000000000000000e+00,6.537868999999999486e-01,3.774017800000000200e-01,1.252521199999999890e+00,5.297660400000000180e+01,4.896009399999999623e+00,1.648424300000000065e+00,8.499230000000000673e-02,4.906220000000000026e-02
5.000000000000000000e+00,7.296304300000000520e-01,4.806931400000000187e-01,1.299182499999999907e+00,5.032828500000000105e+01,6.147924299999999675e+00,2.427910600000000141e+00,9.485200000000000575e-02,6.249009999999999981e-02
6.000000000000000000e+00,8.020036799999999966e-01,5.733112500000000500e-01,1.347290899999999958e+00,4.792174399999999679e+01,7.484356100000000289e+00,3.286039600000000060e+00,1.042605000000000059e-01,7.453049999999999953e-02
7.000000000000000000e+00,8.700863899999999873e-01,6.561618900000000254e-01,1.396031400000000033e+00,4.575117800000000301e+01,8.872775700000000043e+00,4.200814399999999615e+00,1.131111999999999951e-01,8.530100000000000182e-02
8.000000000000000000e+00,9.332958599999999771e-01,7.300622500000000237e-01,1.444693400000000016e+00,4.380359099999999728e+01,1.028320800000000013e+01,5.151308600000000126e+00,1.213285000000000058e-01,9.490809999999999524e-02
9.000000000000000000e+00,9.912621999999999822e-01,7.957451199999999725e-01,1.492660499999999946e+00,4.206279800000000080e+01,1.168914099999999934e+01,6.118400099999999675e+00,1.288641000000000092e-01,1.034468999999999944e-01
1.000000000000000000e+01,1.043812900000000043e+00,8.538849499999999759e-01,1.539411099999999921e+00,4.051138000000000261e+01,1.306818900000000028e+01,7.085308300000000337e+00,1.356957000000000024e-01,1.110050000000000064e-01
