# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
4.000000000000000000e+00,2.597680600000000228e-01,1.250358099999999972e-01,1.065377199999999913e+00,6.982352500000000362e+01,7.217218800000000378e-01,1.543945499999999915e-01,3.376980000000000259e-02,1.625470000000000040e-02
5.000000000000000000e+00,3.047703999999999969e-01,2.400924799999999970e-01,1.088588799999999912e+00,6.672523900000000197e+01,1.122035700000000080e+00,3.907587399999999933e-01,3.962020000000000125e-02,3.121200000000000016e-02
6.000000000000000000e+00,3.637657999999999725e-01,3.699638199999999988e-01,1.122229399999999933e+00,6.300970000000000226e+01,1.781187999999999994e+00,8.049995899999999871e-01,4.728960000000000108e-02,4.809530000000000055e-02
7.000000000000000000e+00,4.259544100000000055e-01,4.888999900000000065e-01,1.160992599999999930e+00,5.946646299999999741e+01,2.630080500000000043e+00,1.362691700000000061e+00,5.537410000000000249e-02,6.355700000000000238e-02
8.000000000000000000e+00,4.883318600000000065e-01,5.952021100000000065e-01,1.203086799999999901e+00,5.622171300000000116e+01,3.634313600000000033e+00,2.043189400000000155e+00,6.348310000000000064e-02,7.737629999999999508e-02
9.000000000000000000e+00,5.491956099999999452e-01,6.897246000000000210e-01,1.247357499999999897e+00,5.329224700000000325e+01,4.760770800000000413e+00,2.824803699999999917e+00,7.139539999999999775e-02,8.966419999999999946e-02
1.000000000000000000e+01,6.073631499999999628e-01,7.735832799999999843e-01,1.292897200000000080e+00,5.066532300000000077e+01,5.976446900000000007e+00,3.685114099999999837e+00,7.895720000000000516e-02,1.005657999999999969e-01
1.100000000000000000e+01,6.619740600000000308e-01,8.477857899999999836e-01,1.338931799999999894e+00,4.831945400000000035e+01,7.249400600000000416e+00,4.601898399999999612e+00,8.605659999999999699e-02,1.102121999999999963e-01
1.200000000000000000e+01,7.124243300000000501e-01,9.132033099999999903e-01,1.384785900000000014e+00,4.623089099999999974e+01,8.549940700000000504e+00,5.554031799999999741e+00,9.261519999999999475e-02,1.187163999999999997e-01
1.300000000000000000e+01,7.583364500000000508e-01,9.706049799999999506e-01,1.429874199999999984e+00,4.437585899999999839e+01,9.851648900000000708e+00,6.522233299999999900e+00,9.858369999999999633e-02,1.261786000000000019e-01
1.400000000000000000e+01,7.995370099999999924e-01,1.020695600000000036e+00,1.473703999999999903e+00,4.273140000000000072e+01,1.113210699999999953e+01,7.489610899999999738e+00,1.039397999999999989e-01,1.326903999999999861e-01
1.500000000000000000e+01,8.360322799999999610e-01,1.064143800000000084e+00,1.515878700000000023e+00,4.127573199999999787e+01,1.237328199999999967e+01,8.441986200000000551e+00,1.086841999999999947e-01,1.383387000000000089e-01
1.600000000000000000e+01,8.679799499999999446e-01,1.101599599999999901e+00,1.556099099999999957e+00,3.998840599999999768e+01,1.356157999999999930e+01,9.368009199999999481e+00,1.128374000000000044e-01,1.432078999999999991e-01
