# Untitled0,STA_IN,Y_IN,DELR_IN,R_IN,DY_over_DX,D2Y_over_DX2,DA_over_DX,DR_over_DX,MACH_NO,_____DM_over_DX,PE_over_PO,BETA
1.100000000000000000e+01,3.894199999999999745e-02,1.310109999999999886e-01,4.158000000000000237e-04,1.314269999999999883e-01,5.019939999999999819e-02,1.283744199999999891e+00,1.749099999999999960e-03,5.194850000000000162e-02,1.198793199999999892e+00,4.068929999999999936e+00,4.130300000000000082e-01,-5.470899999999999652e-01
1.200000000000000000e+01,4.365999999999999742e-02,1.312619999999999898e-01,4.244000000000000159e-04,1.316866999999999899e-01,5.626810000000000145e-02,1.292872599999999927e+00,1.834700000000000089e-03,5.810280000000000306e-02,1.218589499999999992e+00,4.160614599999999719e+00,4.024599999999999844e-01,-5.567499999999999671e-01
1.300000000000000000e+01,4.855099999999999694e-02,1.315530000000000033e-01,4.334000000000000179e-04,1.319864000000000037e-01,6.262529999999999486e-02,1.309302699999999930e+00,1.908600000000000097e-03,6.453390000000000515e-02,1.238761100000000059e+00,4.165876899999999772e+00,3.918699999999999961e-01,-5.549800000000000288e-01
1.400000000000000000e+01,5.369800000000000267e-02,1.318930000000000102e-01,4.435999999999999947e-04,1.323361999999999872e-01,6.941669999999999785e-02,1.327292200000000033e+00,2.015700000000000044e-03,7.143239999999999312e-02,1.260431199999999974e+00,4.250861999999999696e+00,3.807099999999999929e-01,-5.638699999999999823e-01
1.500000000000000000e+01,5.914400000000000213e-02,1.322899999999999909e-01,4.547999999999999959e-04,1.327452000000000076e-01,7.668990000000000529e-02,1.341538899999999979e+00,2.110499999999999963e-03,7.880040000000000655e-02,1.283814900000000092e+00,4.289949400000000246e+00,3.689200000000000257e-01,-5.665299999999999780e-01
1.600000000000000000e+01,6.486100000000000199e-02,1.327510000000000079e-01,4.671000000000000239e-04,1.332179000000000002e-01,8.439499999999999780e-02,1.353613699999999920e+00,2.231900000000000203e-03,8.662690000000000667e-02,1.308315700000000081e+00,4.368035800000000357e+00,3.568500000000000005e-01,-5.744899999999999451e-01
1.700000000000000000e+01,7.097699999999999843e-02,1.332919999999999938e-01,4.812999999999999895e-04,1.337734999999999896e-01,9.271179999999999699e-02,1.368024700000000093e+00,2.365599999999999821e-03,9.507740000000000635e-02,1.335569100000000065e+00,4.458782900000000105e+00,3.437600000000000100e-01,-5.838700000000000001e-01
1.800000000000000000e+01,7.745000000000000495e-02,1.339210000000000123e-01,4.970000000000000459e-04,1.344179000000000068e-01,1.016227999999999992e-01,1.394956800000000108e+00,2.510399999999999871e-03,1.041331999999999952e-01,1.364448499999999953e+00,4.531589000000000311e+00,3.302800000000000180e-01,-5.909600000000000408e-01
1.900000000000000000e+01,8.437500000000000555e-02,1.346579999999999999e-01,5.150000000000000498e-04,1.351729000000000125e-01,1.114185000000000036e-01,1.443622299999999914e+00,2.693300000000000034e-03,1.141117999999999993e-01,1.396348700000000109e+00,4.655088499999999740e+00,3.158599999999999741e-01,-6.045199999999999463e-01
2.000000000000000000e+01,9.175899999999999335e-02,1.355200000000000016e-01,5.356000000000000084e-04,1.360555999999999988e-01,1.223081000000000029e-01,1.510610400000000020e+00,2.884999999999999978e-03,1.251931000000000016e-01,1.431106900000000071e+00,4.744875999999999650e+00,3.007099999999999773e-01,-6.135599999999999943e-01
2.100000000000000000e+01,9.966899999999999371e-02,1.365349999999999897e-01,5.592000000000000399e-04,1.370937999999999879e-01,1.345608000000000082e-01,1.592008499999999938e+00,3.125100000000000013e-03,1.376859000000000000e-01,1.468957800000000091e+00,4.880382599999999904e+00,2.848800000000000221e-01,-6.284899999999999931e-01
2.200000000000000000e+01,1.081710000000000033e-01,1.377359999999999973e-01,5.869999999999999567e-04,1.383232000000000073e-01,1.484888000000000041e-01,1.655522799999999961e+00,3.421500000000000062e-03,1.519101999999999952e-01,1.511319999999999997e+00,5.072008900000000153e+00,2.679699999999999860e-01,-6.502000000000000002e-01
2.300000000000000000e+01,1.173109999999999986e-01,1.391640000000000099e-01,6.197999999999999950e-04,1.397835000000000050e-01,1.637913000000000008e-01,1.659849200000000025e+00,3.766400000000000043e-03,1.675577000000000039e-01,1.558559100000000086e+00,5.268496400000000079e+00,2.500999999999999890e-01,-6.721300000000000052e-01
