# POINT,X_over_YO,Y_over_YO,INT_Y_over_YO,PAR_over_YO,HYP_over_YO,C_Y,C_YI,C_YP
4.500000000000000000e+01,2.249708539999999957e+01,4.768040000000000056e+00,4.768188600000000221e+00,4.317657080000000036e+01,9.238676399999999234e+00,3.373253000000000102e-03,3.373240000000000006e-03,2.439138999999999891e-03
4.600000000000000000e+01,2.388686390000000159e+01,4.826086300000000051e+00,4.826216699999999804e+00,4.854852209999999957e+01,9.802910000000000679e+00,3.207944999999999807e-03,3.207936000000000207e-03,2.303615000000000176e-03
4.700000000000000000e+01,2.521418290000000084e+01,4.871587599999999796e+00,4.871697600000000072e+00,5.397958489999999898e+01,1.034210659999999926e+01,3.063497000000000095e-03,3.063490999999999784e-03,2.187094000000000104e-03
4.800000000000000000e+01,2.647105880000000155e+01,4.906633799999999823e+00,4.906728600000000107e+00,5.939307939999999775e+01,1.085293320000000072e+01,2.937476999999999970e-03,2.937472000000000000e-03,2.086794999999999796e-03
4.900000000000000000e+01,2.765220580000000083e+01,4.933156199999999991e+00,4.933237100000000375e+00,6.472037369999999612e+01,1.133317019999999964e+01,2.827607000000000211e-03,2.827603000000000148e-03,2.000323000000000032e-03
5.000000000000000000e+01,2.875473619999999997e+01,4.952878100000000394e+00,4.952946999999999989e+00,6.990290459999999939e+01,1.178158769999999933e+01,2.731813999999999944e-03,2.731810999999999788e-03,1.925634999999999977e-03
5.100000000000000000e+01,2.977808399999999978e+01,4.967280800000000163e+00,4.967340000000000089e+00,7.489452380000000176e+01,1.219791159999999941e+01,2.648232999999999837e-03,2.648231000000000022e-03,1.860977999999999894e-03
5.200000000000000000e+01,3.072355359999999891e+01,4.977605600000000408e+00,4.977655300000000338e+00,7.966139549999999758e+01,1.258263849999999984e+01,2.575206000000000023e-03,2.575204000000000208e-03,1.804859000000000021e-03
5.300000000000000000e+01,3.159409499999999937e+01,4.984861600000000337e+00,4.984903899999999943e+00,8.418223679999999831e+01,1.293694220000000072e+01,2.511268000000000094e-03,2.511265999999999846e-03,1.755997000000000027e-03
5.400000000000000000e+01,3.239391549999999853e+01,4.989853499999999720e+00,4.989887999999999657e+00,8.844714650000000233e+01,1.326251459999999938e+01,2.455127000000000091e-03,2.455126000000000183e-03,1.713295000000000096e-03
