# Untitled0,TW,TE,TAW,TP,RE_over_IN,RTHI,FRD,KCF1,KCF,RCFS,H,HI,FMY,KTHP,THETA_1,DELTA,DELTAstar__1,N,CH,H,HU,CTH,THU,DSU,X
1.000000000000000000e+00,5.400000000000000000e+02,8.201000000000000227e+02,9.812999999999999545e+02,6.256000000000000227e+02,1.435831000000000000e+06,1.185000000000000000e+03,1.357080000000000064e+00,4.005460000000000242e+00,5.251199999999999868e+00,5.251199999999999868e+00,5.968999999999999861e-01,1.395100000000000007e+00,4.361060000000000159e+00,0.000000000000000000e+00,6.019999999999999961e-04,4.400000000000000265e-03,3.589999999999999984e-04,5.062149999999999928e+00,5.963209999999999900e-01,6.034999999999999783e-04,6.082000000000000383e-04,6.034999999999999783e-04,6.082000000000000383e-04,3.600000000000000227e-04,0.000000000000000000e+00
2.000000000000000000e+00,5.400000000000000000e+02,8.165000000000000000e+02,9.808999999999999773e+02,6.246000000000000227e+02,1.438674000000000000e+06,1.184000000000000000e+03,1.352919999999999900e+00,4.006459999999999688e+00,5.237919999999999909e+00,5.237969999999999793e+00,6.037000000000000144e-01,1.395000000000000018e+00,4.359340000000000437e+00,0.000000000000000000e+00,6.019999999999999961e-04,4.400000000000000265e-03,3.629999999999999872e-04,5.063320000000000043e+00,6.031320000000000014e-01,6.034000000000000301e-04,6.082000000000000383e-04,6.034000000000000301e-04,6.082000000000000383e-04,3.699999999999999947e-04,3.000000000000000062e-03
3.000000000000000000e+00,5.400000000000000000e+02,8.126000000000000227e+02,9.805000000000000000e+02,6.235000000000000000e+02,1.441364000000000000e+06,1.182000000000000000e+03,1.348440000000000083e+00,4.007659999999999556e+00,5.223819999999999908e+00,5.224020000000000330e+00,6.110999999999999766e-01,1.394900000000000029e+00,4.263690000000000424e+00,4.479999999999999954e-02,6.019999999999999961e-04,4.400000000000000265e-03,3.680000000000000003e-04,5.064530000000000420e+00,6.104990000000000139e-01,6.034999999999999783e-04,6.082999999999999866e-04,6.034999999999999783e-04,6.082999999999999866e-04,3.699999999999999947e-04,7.000000000000000146e-03
4.000000000000000000e+00,5.400000000000000000e+02,8.087999999999999545e+02,9.801000000000000227e+02,6.223999999999999773e+02,1.443669000000000000e+06,1.181000000000000000e+03,1.344019999999999992e+00,4.008820000000000050e+00,5.209819999999999673e+00,5.210280000000000022e+00,6.183999999999999497e-01,1.394800000000000040e+00,4.189059999999999562e+00,8.186999999999999833e-02,6.019999999999999961e-04,4.400000000000000265e-03,3.719999999999999891e-04,5.073889999999999567e+00,6.717359999999999998e-01,6.082000000000000383e-04,6.132000000000000514e-04,6.082000000000000383e-04,6.132000000000000514e-04,4.099999999999999912e-04,3.500000000000000333e-02
5.000000000000000000e+00,5.400000000000000000e+02,8.047000000000000455e+02,9.797000000000000455e+02,6.212000000000000455e+02,1.445783000000000000e+06,1.179000000000000000e+03,1.339210000000000012e+00,4.010119999999999685e+00,5.194670000000000343e+00,5.195520000000000138e+00,6.263999999999999568e-01,1.394700000000000051e+00,4.076469999999999594e+00,1.406600000000000072e-01,6.030000000000000204e-04,4.400000000000000265e-03,3.780000000000000265e-04,5.073889999999999567e+00,6.717359999999999998e-01,6.082000000000000383e-04,6.132000000000000514e-04,6.082000000000000383e-04,6.132000000000000514e-04,4.099999999999999912e-04,3.500000000000000333e-02
6.000000000000000000e+00,5.400000000000000000e+02,8.007000000000000455e+02,9.792999999999999545e+02,6.201000000000000227e+02,1.447454000000000000e+06,1.177000000000000000e+03,1.334570000000000034e+00,4.011350000000000193e+00,5.179990000000000094e+00,5.181359999999999744e+00,6.341999999999999860e-01,1.394600000000000062e+00,4.040130000000000443e+00,1.531599999999999906e-01,6.030000000000000204e-04,4.400000000000000265e-03,3.829999999999999854e-04,5.073889999999999567e+00,6.717359999999999998e-01,6.082000000000000383e-04,6.132000000000000514e-04,6.082000000000000383e-04,6.132000000000000514e-04,4.099999999999999912e-04,3.500000000000000333e-02
7.000000000000000000e+00,5.400000000000000000e+02,7.961000000000000227e+02,9.787999999999999545e+02,6.187000000000000455e+02,1.448943000000000000e+06,1.175000000000000000e+03,1.329239999999999977e+00,4.013099999999999667e+00,5.163540000000000241e+00,5.165600000000000414e+00,6.432999999999999829e-01,1.394500000000000073e+00,4.002460000000000129e+00,1.655099999999999905e-01,6.040000000000000447e-04,4.499999999999999660e-03,3.879999999999999985e-04,5.073889999999999567e+00,6.717359999999999998e-01,6.082000000000000383e-04,6.132000000000000514e-04,6.082000000000000383e-04,6.132000000000000514e-04,4.099999999999999912e-04,3.500000000000000333e-02
8.000000000000000000e+00,5.400000000000000000e+02,7.916000000000000227e+02,9.782999999999999545e+02,6.175000000000000000e+02,1.449973000000000000e+06,1.173000000000000000e+03,1.324009999999999909e+00,4.014890000000000292e+00,5.147470000000000212e+00,5.150360000000000049e+00,6.522000000000000020e-01,1.394400000000000084e+00,3.882880000000000109e+00,2.271499999999999908e-01,6.049999999999999606e-04,4.499999999999999660e-03,3.939999999999999817e-04,5.073889999999999567e+00,6.717359999999999998e-01,6.082000000000000383e-04,6.132000000000000514e-04,6.082000000000000383e-04,6.132000000000000514e-04,4.099999999999999912e-04,3.500000000000000333e-02
9.000000000000000000e+00,5.400000000000000000e+02,7.868999999999999773e+02,9.777999999999999545e+02,6.161000000000000227e+02,1.450620000000000000e+06,1.170000000000000000e+03,1.318419999999999925e+00,4.016810000000000436e+00,5.130309999999999704e+00,5.134199999999999875e+00,6.618000000000000549e-01,1.394300000000000095e+00,3.847980000000000178e+00,2.363099999999999923e-01,6.059999999999999849e-04,4.499999999999999660e-03,4.009999999999999893e-04,5.073889999999999567e+00,6.717359999999999998e-01,6.082000000000000383e-04,6.132000000000000514e-04,6.082000000000000383e-04,6.132000000000000514e-04,4.099999999999999912e-04,3.500000000000000333e-02
1.000000000000000000e+01,5.400000000000000000e+02,7.817999999999999545e+02,9.772999999999999545e+02,6.146000000000000227e+02,1.450814000000000000e+06,1.168000000000000000e+03,1.312440000000000051e+00,4.019140000000000157e+00,5.112289999999999779e+00,5.117350000000000065e+00,6.722000000000000197e-01,1.394200000000000106e+00,3.722109999999999808e+00,2.999700000000000144e-01,6.070000000000000092e-04,4.499999999999999660e-03,4.079999999999999968e-04,5.073889999999999567e+00,6.717359999999999998e-01,6.082000000000000383e-04,6.132000000000000514e-04,6.082000000000000383e-04,6.132000000000000514e-04,4.099999999999999912e-04,3.500000000000000333e-02
