# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,2.533965699999999988e+00,0.000000000000000000e+00,2.141921200000000081e+00,2.783135000000000048e+01,3.021208199999999877e+01,0.000000000000000000e+00,3.294155000000000277e-01,0.000000000000000000e+00
2.000000000000000000e+00,2.674623400000000206e+00,7.421645200000000220e-02,2.213684600000000113e+00,2.685508899999999954e+01,3.208656799999999976e+01,9.492949999999999999e-01,3.477009999999999823e-01,9.648099999999999732e-03
3.000000000000000000e+00,2.807171299999999814e+00,1.441729499999999942e-01,2.283617700000000195e+00,2.597007599999999883e+01,3.387090500000000048e+01,1.874148300000000100e+00,3.649322999999999873e-01,1.874249999999999874e-02
4.000000000000000000e+00,2.931475499999999901e+00,2.099607900000000082e-01,2.351261500000000115e+00,2.516988299999999867e+01,3.555659099999999739e+01,2.765800500000000106e+00,3.810917999999999806e-01,2.729490000000000041e-02
5.000000000000000000e+00,3.047604000000000202e+00,2.717090500000000075e-01,2.416266600000000153e+00,2.444764699999999991e+01,3.713908700000000351e+01,3.617856399999999972e+00,3.961884999999999990e-01,3.532219999999999804e-02
6.000000000000000000e+00,3.155802700000000183e+00,3.295886100000000041e-01,2.478389400000000187e+00,2.379640200000000050e+01,3.861718900000000332e+01,4.425980299999999978e+00,4.102544000000000191e-01,4.284650000000000264e-02
7.000000000000000000e+00,3.256466699999999825e+00,3.838125800000000143e-01,2.537483899999999792e+00,2.320930500000000052e+01,3.999236899999999650e+01,5.187603600000000093e+00,4.233407000000000142e-01,4.989559999999999829e-02
8.000000000000000000e+00,3.350108800000000109e+00,4.346333499999999739e-01,2.593490899999999932e+00,2.267979499999999859e+01,4.126816000000000173e+01,5.901612199999999753e+00,4.355141000000000151e-01,5.650229999999999836e-02
9.000000000000000000e+00,3.437329699999999821e+00,4.823372000000000215e-01,2.646424999999999805e+00,2.220169999999999888e+01,4.244958100000000201e+01,6.568043099999999690e+00,4.468528999999999973e-01,6.270380000000000398e-02
1.000000000000000000e+01,3.518789299999999898e+00,5.272376699999999916e-01,2.696361899999999867e+00,2.176928900000000056e+01,4.354265000000000185e+01,7.187805799999999579e+00,4.574425999999999770e-01,6.854090000000000182e-02
1.100000000000000000e+01,3.595183700000000204e+00,5.696683399999999953e-01,2.743424399999999874e+00,2.137730399999999875e+01,4.455397399999999664e+01,7.762436499999999739e+00,4.673739000000000088e-01,7.405689999999999495e-02
1.200000000000000000e+01,3.667225000000000179e+00,6.099760300000000024e-01,2.787770399999999871e+00,2.102096900000000090e+01,4.549042599999999936e+01,8.293889699999999365e+00,4.767391999999999741e-01,7.929690000000000349e-02
1.300000000000000000e+01,3.735626700000000078e+00,6.485147399999999784e-01,2.829581699999999866e+00,2.069597500000000068e+01,4.635888200000000126e+01,8.784365400000000434e+00,4.856314999999999937e-01,8.430690000000000406e-02
1.400000000000000000e+01,3.801093100000000113e+00,6.856406999999999918e-01,2.869054100000000052e+00,2.039846500000000162e+01,4.716604000000000241e+01,9.236170400000000669e+00,4.941420999999999730e-01,8.913329999999999864e-02
1.500000000000000000e+01,3.864312200000000086e+00,7.217085699999999937e-01,2.906388999999999889e+00,2.012500899999999859e+01,4.791827200000000175e+01,9.651610399999999146e+00,5.023606000000000460e-01,9.382210000000000549e-02
1.600000000000000000e+01,3.925951899999999828e+00,7.570686500000000096e-01,2.941786899999999871e+00,1.987257599999999869e+01,4.862153099999999739e+01,1.003290699999999980e+01,5.103737000000000412e-01,9.841890000000000360e-02
1.700000000000000000e+01,3.986657600000000023e+00,7.920650399999999980e-01,2.975441099999999839e+00,1.963850700000000060e+01,4.928128600000000148e+01,1.038213999999999970e+01,5.182655000000000456e-01,1.029685000000000045e-01
1.800000000000000000e+01,4.047052599999999778e+00,8.270342099999999919e-01,3.007533800000000035e+00,1.942048499999999933e+01,4.990248100000000164e+01,1.070120200000000033e+01,5.261168000000000511e-01,1.075143999999999961e-01
1.900000000000000000e+01,4.107737400000000427e+00,8.623040199999999489e-01,3.038232300000000219e+00,1.921650999999999954e+01,5.048951399999999978e+01,1.099178400000000089e+01,5.340059000000000333e-01,1.120995000000000047e-01
2.000000000000000000e+01,4.169290400000000396e+00,8.981924399999999808e-01,3.067686199999999808e+00,1.902487199999999845e+01,5.104623000000000133e+01,1.125535400000000053e+01,5.420078000000000396e-01,1.167649999999999938e-01
2.100000000000000000e+01,4.232267000000000223e+00,9.350058900000000062e-01,3.096025500000000097e+00,1.884413199999999833e+01,5.157592100000000102e+01,1.149316999999999922e+01,5.501947000000000365e-01,1.215508000000000005e-01
2.200000000000000000e+01,4.297196900000000319e+00,9.730366200000000187e-01,3.123359000000000218e+00,1.867309300000000150e+01,5.208133899999999983e+01,1.170629600000000003e+01,5.586356000000000099e-01,1.264947999999999906e-01
2.300000000000000000e+01,4.364580000000000126e+00,1.012558800000000092e+00,3.149773600000000062e+00,1.851078400000000101e+01,5.256471499999999963e+01,1.189562699999999928e+01,5.673953999999999942e-01,1.316325999999999885e-01
2.400000000000000000e+01,4.434878199999999993e+00,1.053822999999999954e+00,3.175333800000000206e+00,1.835643800000000070e+01,5.302778099999999739e+01,1.206193500000000007e+01,5.765341999999999967e-01,1.369970000000000077e-01
2.500000000000000000e+01,4.508504000000000289e+00,1.097048199999999918e+00,3.200082800000000116e+00,1.820946899999999857e+01,5.347181299999999737e+01,1.220592599999999983e+01,5.861054999999999460e-01,1.426163000000000014e-01
2.600000000000000000e+01,4.585804099999999828e+00,1.142411800000000088e+00,3.224043200000000109e+00,1.806944800000000129e+01,5.389767400000000208e+01,1.232830599999999954e+01,5.961545000000000316e-01,1.485134999999999927e-01
2.700000000000000000e+01,4.667037699999999845e+00,1.190036700000000058e+00,3.247219900000000159e+00,1.793607700000000094e+01,5.430587599999999782e+01,1.242986800000000081e+01,6.067148999999999459e-01,1.547048000000000034e-01
2.800000000000000000e+01,4.752349399999999946e+00,1.239975499999999897e+00,3.269603099999999873e+00,1.780915999999999855e+01,5.469665400000000233e+01,1.251158200000000065e+01,6.178053999999999490e-01,1.611968000000000012e-01
2.900000000000000000e+01,4.841735400000000134e+00,1.292191700000000054e+00,3.291173000000000126e+00,1.768857200000000063e+01,5.507005900000000054e+01,1.257470099999999924e+01,6.294256000000000295e-01,1.679848999999999926e-01
3.000000000000000000e+01,4.935004499999999794e+00,1.346539200000000047e+00,3.311905199999999994e+00,1.757422199999999890e+01,5.542605400000000060e+01,1.262086799999999975e+01,6.415505999999999709e-01,1.750500999999999863e-01
3.100000000000000000e+01,5.031734300000000104e+00,1.402739399999999970e+00,3.331777199999999883e+00,1.746601899999999929e+01,5.576462300000000027e+01,1.265221599999999924e+01,6.541255000000000264e-01,1.823560999999999932e-01
3.200000000000000000e+01,5.217749799999999993e+00,1.510307400000000078e+00,3.366276399999999835e+00,1.728135400000000033e+01,5.634630200000000144e+01,1.267962999999999951e+01,6.783074999999999521e-01,1.963399999999999868e-01
3.300000000000000000e+01,5.408547999999999689e+00,1.619923299999999955e+00,3.397597499999999826e+00,1.711710300000000018e+01,5.686777299999999968e+01,1.267758000000000074e+01,7.031112000000000473e-01,2.105899999999999994e-01
3.400000000000000000e+01,5.602974599999999583e+00,1.730866900000000097e+00,3.426147700000000018e+00,1.697012300000000096e+01,5.733769300000000158e+01,1.265487599999999979e+01,7.283867000000000536e-01,2.250127000000000099e-01
3.500000000000000000e+01,5.800348699999999802e+00,1.842718599999999984e+00,3.452295299999999845e+00,1.683774299999999968e+01,5.776359099999999813e+01,1.261751100000000037e+01,7.540453000000000294e-01,2.395533999999999997e-01
3.600000000000000000e+01,6.000217100000000414e+00,1.955207399999999929e+00,3.476356099999999838e+00,1.671776799999999952e+01,5.815176300000000253e+01,1.256970300000000051e+01,7.800281999999999494e-01,2.541769999999999863e-01
