# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,1.454368499999999953e+00,0.000000000000000000e+00,1.608067799999999936e+00,3.845240600000000342e+01,1.509898199999999946e+01,0.000000000000000000e+00,1.890679000000000110e-01,0.000000000000000000e+00
2.000000000000000000e+00,1.575651600000000041e+00,9.508172099999999405e-02,1.668419199999999991e+00,3.682477300000000042e+01,1.688098199999999949e+01,9.097062599999999888e-01,2.048347000000000084e-01,1.236059999999999937e-02
3.000000000000000000e+00,1.690838599999999969e+00,1.833430299999999902e-01,1.729240099999999947e+00,3.533026799999999668e+01,1.866688500000000062e+01,1.855075800000000052e+00,2.198090000000000044e-01,2.383460000000000092e-02
4.000000000000000000e+00,1.799300700000000086e+00,2.650329100000000104e-01,1.789788399999999946e+00,3.396768800000000255e+01,2.042958600000000047e+01,2.817505500000000218e+00,2.339091000000000087e-01,3.445430000000000020e-02
5.000000000000000000e+00,1.900623100000000010e+00,3.404167100000000112e-01,1.849414499999999961e+00,3.273209899999999806e+01,2.214656099999999839e+01,3.780657199999999829e+00,2.470809999999999951e-01,4.425420000000000048e-02
6.000000000000000000e+00,1.994598799999999894e+00,4.097773599999999794e-01,1.907568300000000105e+00,3.161626300000000001e+01,2.380005699999999891e+01,4.730674099999999882e+00,2.592978000000000227e-01,5.327110000000000178e-02
7.000000000000000000e+00,2.081216400000000188e+00,4.734216600000000219e-01,1.963804200000000000e+00,3.061160500000000084e+01,2.537701200000000057e+01,5.656309799999999832e+00,2.705581000000000236e-01,6.154479999999999673e-02
8.000000000000000000e+00,2.160641099999999870e+00,5.316856399999999594e-01,2.017782200000000081e+00,2.970890199999999837e+01,2.686873699999999943e+01,6.548879399999999684e+00,2.808833000000000024e-01,6.911910000000000276e-02
9.000000000000000000e+00,2.233188300000000126e+00,5.849366000000000287e-01,2.069265099999999968e+00,2.889875500000000130e+01,2.827042799999999900e+01,7.402084600000000236e+00,2.903144999999999754e-01,7.604180000000000661e-02
1.000000000000000000e+01,2.299294300000000124e+00,6.335713499999999776e-01,2.118110999999999855e+00,2.817191899999999904e+01,2.958057700000000168e+01,8.211747900000000655e+00,2.989083000000000157e-01,8.236430000000000140e-02
1.100000000000000000e+01,2.359484399999999926e+00,6.780112799999999940e-01,2.164263699999999790e+00,2.751952899999999858e+01,3.080034500000000008e+01,8.975504000000000815e+00,3.067329999999999779e-01,8.814149999999999763e-02
1.200000000000000000e+01,2.414344700000000010e+00,7.186953600000000053e-01,2.207740100000000094e+00,2.693323200000000028e+01,3.193295699999999826e+01,9.692473599999999578e+00,3.138647999999999993e-01,9.343039999999999679e-02
1.300000000000000000e+01,2.464495100000000161e+00,7.560722899999999802e-01,2.248617700000000053e+00,2.640527700000000166e+01,3.298314700000000244e+01,1.036294999999999966e+01,3.203844000000000136e-01,9.828939999999999899e-02
1.400000000000000000e+01,2.510568500000000203e+00,7.905929000000000428e-01,2.287021399999999982e+00,2.592854799999999926e+01,3.395667300000000211e+01,1.098810699999999940e+01,3.263738999999999946e-01,1.027770999999999962e-01
1.500000000000000000e+01,2.553193600000000174e+00,8.227034100000000238e-01,2.323111499999999996e+00,2.549657600000000102e+01,3.485991599999999835e+01,1.156975100000000012e+01,3.319152000000000213e-01,1.069514000000000020e-01
1.600000000000000000e+01,2.592983799999999839e+00,8.528402099999999875e-01,2.357072599999999962e+00,2.510352100000000064e+01,3.569955000000000211e+01,1.211009499999999939e+01,3.370878999999999959e-01,1.108692000000000011e-01
