# POINT,X,Y,Mach,MACH_ANG__D,PSI__D,FLOW_ANG__D,X_IN,Y_IN
1.000000000000000000e+00,9.993402899999999534e+00,0.000000000000000000e+00,4.815167500000000267e+00,1.198625900000000044e+01,7.513745099999999866e+01,0.000000000000000000e+00,1.299142400000000031e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.019578600000000002e+01,4.307740200000000075e-02,4.840838800000000219e+00,1.192175899999999977e+01,7.539159999999999684e+01,1.242291699999999999e-01,1.325452199999999969e+00,5.600100000000000217e-03
3.000000000000000000e+00,1.039738700000000016e+01,8.618136099999999800e-02,4.862890199999999830e+00,1.186690899999999971e+01,7.560819100000000503e+01,2.242554200000000109e-01,1.351660400000000095e+00,1.120359999999999932e-02
4.000000000000000000e+00,1.059901200000000010e+01,1.294317200000000001e-01,4.881564400000000248e+00,1.182085700000000017e+01,7.579038099999999645e+01,3.019923800000000047e-01,1.377871599999999974e+00,1.682610000000000008e-02
5.000000000000000000e+00,1.080138900000000035e+01,1.729379199999999950e-01,4.897113899999999909e+00,1.178278399999999948e+01,7.594123199999999940e+01,3.594458300000000217e-01,1.404180599999999890e+00,2.248189999999999911e-02
6.000000000000000000e+00,1.100515099999999968e+01,2.167934499999999987e-01,4.909808899999999809e+00,1.175188200000000016e+01,7.606381899999999519e+01,3.987609799999999871e-01,1.430669699999999933e+00,2.818309999999999912e-02
7.000000000000000000e+00,1.121080399999999955e+01,2.610698200000000080e-01,4.919945700000000421e+00,1.172732500000000044e+01,7.616133700000000317e+01,4.222938399999999759e-01,1.457404499999999992e+00,3.393909999999999982e-02
8.000000000000000000e+00,1.141869799999999913e+01,3.058101599999999975e-01,4.927856900000000095e+00,1.170823099999999961e+01,7.623721999999999355e+01,4.326909700000000081e-01,1.484430700000000103e+00,3.975530000000000036e-02
9.000000000000000000e+00,1.162898900000000069e+01,3.510223399999999883e-01,4.933921899999999638e+00,1.169363599999999970e+01,7.629525999999999897e+01,4.329661499999999941e-01,1.511768599999999907e+00,4.563289999999999708e-02
1.000000000000000000e+01,1.184160100000000071e+01,3.966716200000000025e-01,4.938576399999999644e+00,1.168245899999999970e+01,7.633972500000000139e+01,4.265739100000000006e-01,1.539408099999999946e+00,5.156730000000000341e-02
1.100000000000000000e+01,1.224006299999999925e+01,4.820381999999999723e-01,4.944979799999999592e+00,1.166711800000000032e+01,7.640078599999999653e+01,4.083623399999999903e-01,1.591208200000000073e+00,6.266499999999999848e-02
1.200000000000000000e+01,1.263920599999999972e+01,5.673189199999999488e-01,4.949638000000000204e+00,1.165598400000000012e+01,7.644512500000000443e+01,3.894375500000000212e-01,1.643096799999999913e+00,7.375149999999999761e-02
1.300000000000000000e+01,1.303885099999999930e+01,6.525018700000000393e-01,4.953244999999999898e+00,1.164737700000000054e+01,7.647941199999999640e+01,3.718808800000000248e-01,1.695050699999999910e+00,8.482520000000000338e-02
1.400000000000000000e+01,1.343891099999999916e+01,7.375945600000000102e-01,4.956152000000000335e+00,1.164044999999999952e+01,7.650701599999999303e+01,3.560366200000000259e-01,1.747058400000000011e+00,9.588729999999999476e-02
1.500000000000000000e+01,1.383932500000000054e+01,8.226068500000000006e-01,4.958562999999999832e+00,1.163471099999999936e+01,7.652988899999999717e+01,3.418246699999999971e-01,1.799112299999999998e+00,1.069389000000000034e-01
1.600000000000000000e+01,1.424005099999999935e+01,9.075478799999999735e-01,4.960606300000000246e+00,1.162985199999999963e+01,7.654926100000000133e+01,3.290623400000000087e-01,1.851206700000000094e+00,1.179811999999999944e-01
1.700000000000000000e+01,1.464105299999999943e+01,9.924255800000000294e-01,4.962367999999999668e+00,1.162566499999999969e+01,7.656595099999999832e+01,3.175582499999999864e-01,1.903336899999999998e+00,1.290152999999999994e-01
1.800000000000000000e+01,1.504230199999999940e+01,1.077246699999999890e+00,4.963907899999999707e+00,1.162200900000000026e+01,7.658053300000000263e+01,3.071395599999999781e-01,1.955499300000000051e+00,1.400421000000000027e-01
